gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank,composite_primary,rank_primary,pu_score_v2,pu_score_v2_rank,maxITSI,best_cancer_ind,FC_best,P_tumor_best,pu_score_v3,pu_score_fused,pu_rank_fused,known_target,pu_score_v6,pu_rank_v6,bag_sd_v6,label,pu_score_v2b,pu_score_v4,pu_score_v5,pu_score_v5w,pu_score_v5w_fused,pu_rank_v5,bag_sd_v5,hpa_tumor_level_max,n_cancers_med_high,n_glyco_EC,geo_max_itsi,n_geo_itsi_pos,geo_max_fc,best_cancer,best_log2tpm,n_cancers_positive,enhanced_score_v2,rank_v2,eas,ntrs,risk_level,ctgov_n_trials,ctgov_max_phase,p2rank_top_score,p2rank_top_prob,p2rank_n_pockets,p2rank_filt_top_prob,p2rank_filt_n_pockets,purity_corr_max,high_purity_fc_shift,maxitsi_purityadj,expr_cv_median,tier,cohort,subsystem,failure_note
CLDN3,14,0.3903467979925806,0.9663865538097594,0.0064146765775739,0.0062259116513489,0.000105,3,3,SER,O15551,4.814,0.763,0.1019276301488046,Non-essential,81.5,22.3,8.6,0.4340954408906465,11,0.4194161747195252,15,0.9375109914511924,1,2.0858,Uterine,10.276,0.994,0.9126072786739204,0.9995954692556634,2,0,0.7797425641747263,144,0.1478234879729056,0,0.9543768944846596,0.8787247448849592,0.8128696726491825,0.8317758609841798,2417.5,75,0.2041833080538661,3.0,18.0,0,0.7988,1.0,2.663,Ovarian,9.1,22.0,0.5368247560982244,14,1.0,9.0,High,,,,,0.0,,0.0,0.3225,0.406,2.1024,1.1217,,,solid,
CACHD1,12,0.3993851246817579,0.201680672099428,0.5021034319152301,0.5602727542247258,0.009449,68,60,LYS,Q5VU97,1.47,0.795,-0.028652386156779,Non-essential,77.6,24.3,17.3,0.4268822817697887,12,0.4369874533655502,10,0.4918995121331215,864,0.3443,AML,4.87,0.387,0.5141143859481185,0.6751618122977346,804,0,0.098338331735002,1907,0.061382463832464,0,0.375297356499826,0.2415923481527793,0.1888603422607597,0.2132164786448048,845.5,1806,0.1224081035690102,3.0,18.0,1,1.0979,1.0,1.098,Low Grade Glioma,3.3,26.0,0.5535954052528482,10,1.0,6.0,High,,,23.71,0.891,4.0,0.891,3.0,0.0988,0.151,0.3548,1.2349,,,solid,
UNC93A,17,0.3803528172695158,0.50420168024857,0.0888439032105013,0.5067299140231247,0.008546,22,11,LYS,Q86WB7,-4.293,0.182,0.0701394581118148,Non-essential,85.1,13.6,8.1,0.426764042395406,13,0.4162062375559311,16,0.6440128168530008,357,2.0237,Stomach,9.938,0.499,0.6910910886382602,0.8830906148867314,290,0,0.681541309929893,350,0.1997672831694873,0,0.7405553453922568,0.7198529408263988,0.6568921247924299,0.685676520175043,2151.5,390,0.2486199899919842,3.0,20.0,1,0.0,0.0,0.0,Liver,1.4,2.0,0.4465651835088677,160,0.5,0.0,Low,,,28.58,0.926,1.0,,,0.1715,3.459,2.3436,2.9081,,,solid,
RAET1L,13,0.3934477037626713,0.6470588229856649,0.0042764510517159,0.4444707975096353,0.007496,9,4,LYS,Q5VY80,-3.047,0.245,-0.0632837516645214,Non-essential,82.1,29.7,11.8,0.4239574001853205,14,0.4091712227379063,19,0.8089683339807027,64,6.656,Head&Neck,13.824,0.963,0.4723273144845319,0.8191747572815534,448,0,0.6594666571170484,406,0.2405628272390513,0,0.8314942482688003,0.6313149295414727,0.6211951947104689,0.6764613833762855,2192.5,491,0.2844168099692449,,0.0,2,0.0469,0.0,0.07,Head&Neck,3.9,6.0,0.4368141554586865,164,0.5,,No HPA data,,,0.96,0.005,0.0,,,0.1628,4.392,6.6277,2.0502,,,solid,
ABCA12,9,0.4148063726117319,0.4873949575736176,0.3446275502135062,0.3882004150607767,0.006547,162,46,LYS,Q86UK0,-2.727,0.284,0.0147802767617644,Non-essential,68.1,45.2,17.7,0.4235952264693369,15,0.4258266039800122,12,0.8140619132411957,58,3.2902,Head&Neck,8.481,0.867,0.62495039341104,0.9089805825242718,226,0,0.6437018717806399,437,0.276389824713421,0,0.7790215825591641,0.567125258915205,0.5648770481570672,0.6355538515939058,2084.5,659,0.3229045894050782,,0.0,35,1.9668,1.0,4.917,Head&Neck,2.0,5.0,0.438214332448261,163,0.5,,No HPA data,,,48.86,0.978,6.0,,,0.3535,0.933,3.2722,2.0207,,,solid,
ANO6,16,0.3805894701571873,0.2773109241367135,0.2599272497232326,0.6389564186184405,0.010776,51,24,LYS,Q4KMQ2,4.004,0.997,0.0050840549799989,Non-essential,81.6,15.3,6.6,0.421479740533268,16,0.4194761030194296,14,0.5594395161878275,596,0.5226,Glioblastoma,2.956,1.0,0.3995835977235188,0.6561488673139159,851,0,0.3295477717381349,1287,0.195207247846824,0,0.5083157532454278,0.3416483698406096,0.3893387107072499,0.4256783584457504,1414.5,1228,0.2165590649882985,3.0,20.0,6,0.3697,0.0,0.37,Kidney Clear Cell,5.5,32.0,0.548804464702513,11,1.0,9.0,High,,,14.48,0.724,4.0,0.612,1.0,0.0757,0.204,0.4875,0.6427,,,solid,
PRSS8,24,0.369818031611395,0.9159663857849024,0.0107860192946386,0.0006522383634746,1.1e-05,17,3,SER,Q16651,6.189,0.829,-0.0126334125130299,Non-essential,83.7,22.2,16.6,0.4162477994392441,17,0.401787100403976,24,0.8069490281121063,66,1.7214,Uterine,9.376,0.989,0.8465939966628968,0.9809870550161812,48,0,0.796911217954795,117,0.1688471131306794,0,0.9014671855675276,0.8562067210987412,0.7765682236749837,0.7950739307528942,2370.0,122,0.1932240735359429,3.0,13.0,1,0.2741,0.0,0.685,Prostate,7.6,22.0,0.4240792479778482,166,0.5,2.0,Low,,,2.15,0.05,0.0,,,0.4004,0.796,1.7164,0.7653,,,solid,
ATP13A3,19,0.3801884444160341,0.3109243694866181,0.3657441088091096,0.4869848799288466,0.008213,64,47,LYS,Q9H7F0,4.863,0.999,-0.0126439169984465,Non-essential,77.7,20.8,11.5,0.4162057765048054,18,0.4194929819452608,13,0.7443542083224929,146,0.3815,Esophageal,2.158,1.0,0.6365309389845425,0.9008899676375404,246,0,0.2710014346483692,1456,0.2187825525375275,0,0.6270761506085953,0.4625767826140791,0.3382790366435923,0.3962310531135529,1574.5,1393,0.1965338990996318,3.0,14.0,0,0.7198,1.0,0.72,Esophageal,6.3,32.0,0.4424768901192458,162,0.5,6.0,High,,,9.92,0.534,1.0,,,0.1041,0.052,0.3686,0.591,,,solid,
TSPAN1,26,0.3639910480148252,0.5882352936233318,0.0052127154831567,0.4237770530684849,0.007147,5,5,LYS,O60635,5.348,0.881,-0.0753725143693718,Non-essential,88.2,12.4,4.6,0.4157297949060765,19,0.4009904306802344,25,0.7995609528269114,74,1.2363,Pancreatic,6.922,0.994,0.8272277937882127,0.9765372168284788,59,0,0.8602861671705019,45,0.1263385529396102,0,0.9027474947702951,0.8685811569448965,0.9070308030068286,0.9151600314597328,2456.0,14,0.0664820084761773,3.0,17.0,4,0.6992,1.0,0.699,Prostate,9.8,26.0,0.5354567771161614,15,1.0,9.0,High,,,8.68,0.464,0.0,0.105,0.0,0.3487,1.221,1.2839,1.4323,,,solid,
MMEL1,27,0.3637289809212417,0.3277310921615705,0.2721050134429859,0.5033501334123924,0.008489,33,22,LYS,Q495T6,1.177,0.643,-0.0838671325343793,Non-essential,90.0,8.3,7.6,0.4152696689703942,20,0.4138749196425435,18,0.4679690774884431,951,0.6321,Pancreatic,3.605,0.96,0.4788890837748319,0.6298543689320388,916,0,0.4067595195340733,1053,0.2113954354322777,0,0.6143762513013572,0.4928061187292104,0.5196764021085486,0.5739852482716211,1820.0,822,0.232101750027365,3.0,17.0,5,3.8945,1.0,9.736,Prostate,4.1,21.0,0.4437238024114682,161,0.5,0.0,Low,,,35.66,0.954,1.0,,,0.4327,1.119,0.6954,1.5752,,,solid,
CDCP1,22,0.3738348564666564,0.5714285709483794,0.0397406294480468,0.4444707975096353,0.007496,39,8,LYS,Q9H5V8,3.321,0.833,-0.0113930840770698,Non-essential,77.6,26.2,19.3,0.4098528565713533,21,0.3968398880437557,26,0.623293048920429,420,1.1167,Cholangiocarcinoma,6.185,0.972,0.5586204890403415,0.7997572815533981,496,0,0.5467247465424283,668,0.2773452173884353,0,0.6859150886120525,0.5236675231409222,0.5668244438609213,0.6368335707941027,2002.5,652,0.2571341651823963,3.0,17.0,7,0.1787,0.0,0.321,Esophageal,5.3,24.0,0.5284994281286313,19,1.0,6.0,High,,,1.28,0.013,0.0,0.013,0.0,0.0986,0.118,1.0818,0.7902,,,solid,
ABCB11,29,0.3624807463391813,0.252100840124285,0.2486541198798038,0.6234805810850874,0.010515,73,23,LYS,O95342,-6.506,0.031,-0.0271240172479132,Non-essential,83.1,12.3,8.8,0.4089689692847226,22,0.4064016752787127,21,0.2961742118697831,1710,0.0143,Pancreatic,5.672,0.006,0.0576559230111291,0.2107605177993528,1952,0,0.0922963929791341,1917,0.1033339732883381,0,0.291645731995482,0.0454531261286094,0.0506866344168581,0.0526065477264935,514.0,2116,0.0542387766126406,2.0,1.0,4,0.0,0.0,0.132,Liver,1.5,1.0,0.5401521502240496,12,1.0,6.0,High,,,21.62,0.872,2.0,,0.0,0.1605,0.377,0.0272,1.7879,,,solid,
ATP2B4,18,0.380244062531155,0.2268907561118565,0.457339870314724,0.5076193299733174,0.008561,53,27,LYS,P23634,4.777,0.999,-0.2054926707908701,Non-essential,72.7,27.8,21.3,0.4078515647111601,23,0.4157185582268963,17,0.7467313375281435,137,0.5386,Sarcoma,3.047,1.0,0.81785040450711,0.9627831715210357,93,0,0.56667998121272,628,0.2177796428648458,0,0.6392993098187635,0.7775839628323046,0.6421262836415795,0.7075254360578991,2066.0,433,0.2553345816841446,3.0,20.0,0,0.9205,1.0,0.92,Ovarian,5.9,32.0,0.5369145290855725,13,1.0,9.0,High,,,9.27,0.497,0.0,0.021,0.0,0.3513,0.655,0.6544,0.6563,,,solid,
CDH3,23,0.3725298964587701,0.6470588229856649,0.0162581053297485,0.3627631188852653,0.006118,19,2,LYS,P22223,4.475,0.827,0.0028607095450393,Non-essential,76.7,29.6,22.0,0.4066258940987362,24,0.3924387993652236,28,0.8408431587449803,38,1.3466,Head&Neck,6.997,1.0,0.8491366535831693,0.9866504854368932,34,0,0.7097403132984627,292,0.1841151120699696,0,0.8760449312361236,0.6907193164520147,0.6218385984356545,0.6890347153547599,2229.5,485,0.236194964333636,3.0,17.0,2,4.6225,1.0,5.778,Head&Neck,8.1,24.0,0.5229689505894191,24,1.0,6.0,High,,,1.42,0.018,0.0,,0.0,0.4521,2.691,1.3584,1.164,,,solid,
SLC52A3,28,0.3634573019648616,0.4369747895487607,0.1486066740471295,0.4802846131040616,0.0081,12,14,LYS,Q9NQ40,2.151,0.753,0.1008092491024636,Non-essential,80.4,22.0,15.8,0.403163998129864,25,0.3955943318322205,27,0.8288529642916,46,1.2683,Cholangiocarcinoma,7.55,0.889,0.8678386887953013,0.9890776699029126,28,0,0.584912502347065,577,0.2360864274470018,0,0.8204333888124657,0.8499367428746011,0.7589009601167422,0.8338904161504385,2386.0,156,0.1553167421768246,3.0,18.0,2,-0.0014,0.0,-0.008,Colorectal,3.7,21.0,0.5280219548174285,21,1.0,6.0,High,,,34.0,0.948,1.0,,0.0,0.2025,0.26,1.2715,0.966,,,solid,
TACSTD2,30,0.3612506521015708,0.7226890750229503,0.0143159892456112,0.2262674177290246,0.003816,9,5,LYS,P09758,6.489,0.813,-0.0935735827287819,Non-essential,82.7,25.1,8.7,0.4029870280016915,26,0.3887028274639721,32,0.8766328131091434,17,1.3798,Cervical,7.682,1.0,0.9130383467625308,0.997168284789644,8,1,0.935359003017154,4,0.0202704889989384,1,0.9069277475351892,0.9423869687078614,0.9458834488411744,0.9605078708470788,2467.5,1,0.0158895647160293,3.0,8.0,4,-0.2273,0.0,-0.758,Cervical,9.0,21.0,0.5186889501506647,30,1.0,6.0,High,5.0,imaging only / historical,3.74,0.143,0.0,0.143,0.0,0.189,0.603,1.3422,1.3288,tier2,original,solid,
ABCA1,20,0.3788518232958155,0.252100840124285,0.4106658231851969,0.5160391343018085,0.008703,135,40,LYS,O95477,2.299,0.951,0.0108311025773815,Non-essential,73.2,33.0,8.7,0.4019115334152511,27,0.4074448245745109,20,0.5691906603833607,565,0.7581,AML,4.804,0.879,0.4634819059741545,0.7063106796116505,727,0,0.4088837154817766,1048,0.1662398861081619,0,0.4476680865417449,0.282606547652315,0.3397009737513161,0.4121204448091571,1256.0,1389,0.2311908596672093,3.0,17.0,15,0.4635,0.0,0.463,Low Grade Glioma,3.8,32.0,0.5303662015284724,17,1.0,6.0,High,,,28.62,0.926,5.0,0.8,2.0,0.0068,0.055,0.5909,0.9328,,,solid,
ABCA3,34,0.3555719054447123,0.2941176468116659,0.3623090305234857,0.4307737918766676,0.007265,81,33,LYS,Q99758,3.175,0.863,0.0086796291662919,Non-essential,80.8,14.6,5.0,0.4016118819841214,28,0.4047273335102956,22,0.7743627555804973,100,0.634,Cholangiocarcinoma,3.689,0.972,0.7757390303902449,0.9611650485436892,97,0,0.4140078292200186,1025,0.204050195576214,0,0.7177402307257676,0.582255839331416,0.5602633757582869,0.6404653457048286,2044.0,676,0.2114738020457116,3.0,18.0,6,1.1945,1.0,1.194,Low Grade Glioma,5.7,30.0,0.4325459761829471,165,0.5,6.0,High,,,19.68,0.843,4.0,,,0.2822,0.624,0.6061,1.1905,,,solid,
NETO1,15,0.387182366254034,0.252100840124285,0.0057630871421793,0.9487103468722206,0.016,14,4,LYS,Q8TDF5,-3.047,0.175,0.0773510524669213,Non-essential,71.7,40.7,37.1,0.4011536525470998,29,0.3864418069042087,33,0.2339465780720551,1898,0.3673,Lung Squamous,4.518,0.293,0.4524033354424358,0.4073624595469255,1466,0,0.4102654066174512,1044,0.1993230329593734,0,0.2333338142792389,0.477030253205316,0.4392142025652245,0.530653358228455,1040.5,1071,0.193907638209708,,0.0,2,0.2225,0.0,2.225,Low Grade Glioma,3.0,2.0,0.5282198968339513,20,1.0,,No HPA data,,,11.69,0.621,1.0,0.621,1.0,0.186,0.398,0.2682,2.5249,,,solid,
SLCO4C1,25,0.3654881359548231,0.3109243694866181,0.3469239285149454,0.4568040320189742,0.007704,22,49,LYS,Q6ZQN7,-3.047,0.247,-0.0061806002177224,Non-essential,78.6,24.4,16.2,0.4003555194537962,30,0.4027017158795435,23,0.6385991559363265,372,0.7329,Kidney Papillary,2.613,0.972,0.7386011607233862,0.9016990291262136,244,0,0.5003497742088073,794,0.2196778916958058,0,0.6064982134918211,0.5936768959873684,0.5427859118121263,0.6297302817181379,1879.5,730,0.1846003215527449,,0.0,0,3.0019,1.0,3.402,Kidney Papillary,4.7,7.0,0.5290766844784385,18,1.0,,No HPA data,,,42.13,0.967,1.0,0.078,0.0,0.2028,0.933,0.7341,1.8376,,,solid,
PTK7,41,0.3493021151691047,0.4957983189110939,0.109739047920291,0.3935369107619329,0.006637,42,6,LYS,Q13308,5.455,0.984,-0.0599612825873093,Non-essential,82.7,14.2,9.4,0.4001484012894388,31,0.3906353536854534,29,0.8332745858429466,44,1.3233,Sarcoma,7.546,0.992,0.7349495793751886,0.9583333333333334,104,0,0.7518574331942747,213,0.166504515270322,0,0.8887712483117689,0.6668593569556399,0.6902097621741606,0.7466964573243646,2303.5,309,0.1975253060184136,3.0,17.0,10,4.9248,2.0,4.925,,,,0.5254047714642183,22,1.0,6.0,High,,,7.86,0.417,0.0,0.015,0.0,0.203,0.449,1.2467,0.751,,,solid,
GJB1,32,0.3579473483403046,0.5378151255984748,0.0083567926617112,0.4677142010080046,0.007888,18,3,LYS,P08034,1.331,0.562,0.0755525561283461,Non-essential,80.2,22.3,10.2,0.3999530423768951,32,0.3853708820099806,34,0.8591020431490104,27,1.68,Melanoma,7.449,0.957,0.8822753630645649,0.9935275080906149,17,0,0.73977558408674,229,0.1880410036570236,0,0.9031444769039524,0.8704213297324205,0.768759392243266,0.8004450623824203,2375.5,135,0.2380432171311043,3.0,19.0,0,0.001,0.0,0.008,,,,0.5223679801335619,25,1.0,9.0,High,,,2.93,0.094,0.0,0.051,0.0,0.4159,0.898,1.7239,1.278,,,solid,
MET,33,0.3576284408978785,0.4369747895487607,0.1306594970741736,0.4788022531870738,0.008075,66,23,LYS,P08581,3.673,0.884,-0.0124543468205462,Non-essential,79.2,21.4,13.9,0.3989066139073781,33,0.3904395887610867,31,0.6639115181366746,309,0.729,Kidney Papillary,4.059,1.0,0.7376209435342106,0.9118122977346278,219,1,0.6659175952561155,379,0.0460271155187064,1,0.6309090951665957,0.6981582201390242,0.7339782200377908,0.794494322805274,2161.5,214,0.0454449328712,3.0,20.0,11,-0.9086,0.0,-0.909,,,,0.5247360474394397,23,1.0,6.0,High,2.0,imaging only / historical,10.62,0.571,1.0,0.151,0.0,0.2763,0.432,0.7159,1.2007,tier2,original,solid,
SLC2A1,92,0.3156896699391135,0.3949579828613799,0.087028309346829,0.4386599466350429,0.007398,24,7,LYS,P11166,6.279,0.992,-0.4051544621694808,Context-dependent,90.3,6.1,4.9,0.3985573579969509,34,0.3679087734642924,54,0.7809898224348256,96,0.9824,Pancreatic,5.557,1.0,0.8761003258265144,0.9805825242718448,49,0,0.8670790982740788,34,0.1778478308035484,0,0.8616123376376295,0.9464915318651712,0.9256301503763456,0.9522852590109092,2452.5,5,0.0726835558652462,3.0,6.0,1,0.9531,2.0,0.953,,,,0.5327771469117194,16,1.0,6.0,High,,,28.32,0.924,1.0,,0.0,0.2041,0.444,1.0133,1.1108,,,solid,
CCR8,43,0.3450610082733876,0.6134453776357603,0.0576245453107702,0.2746516454195078,0.004632,10,14,LYS,P51685,-2.548,0.137,-0.0133776670090486,Non-essential,82.1,18.3,14.4,0.3944749298550856,35,0.3823561571206241,35,0.6720333863552083,286,3.2485,Head&Neck,9.207,0.353,0.5882348687465612,0.843042071197411,389,0,0.4283323503912616,987,0.2342818255174927,0,0.5974509138414699,0.56834936804651,0.5818447835174626,0.6122582698899309,1843.5,615,0.3045938746048111,2.0,1.0,0,0.0,0.0,0.0,,,,0.5165165825549958,31,1.0,0.0,Low,,,23.22,0.887,1.0,,0.0,-0.1251,0.0,2.5364,,,,solid,
SLITRK4,21,0.3763819777991422,0.2352941174493327,0.2653993357583425,0.675481766973021,0.011392,19,32,LYS,Q8IW52,-1.831,0.278,0.0629940287228361,Non-essential,68.1,40.3,35.0,0.3922732167901073,36,0.3905431835780244,30,0.587693712233486,519,1.3051,AML,9.21,0.723,0.5100405072794049,0.7491909385113269,621,0,0.2464783061142755,1520,0.2047812529495135,0,0.5467826812860141,0.5264687495833024,0.5221864155256076,0.5871674790919796,1722.0,809,0.2142787267838242,1.0,0.0,2,0.0227,0.0,0.039,,,,0.521699749908606,26,1.0,0.0,Low,,,37.1,0.957,2.0,0.956,2.0,0.177,0.412,1.4019,1.3611,,,solid,
CNTNAP2,45,0.3410316205252715,0.4201680668738084,0.1204554799936738,0.45609249925882,0.007692,57,17,LYS,Q9UHC6,-0.512,0.46,0.0144102007103527,Non-essential,83.4,16.1,11.0,0.3900958182189563,37,0.3811185922186401,36,0.6944918863316887,239,2.0066,Thymoma,6.951,1.0,0.6544217949121106,0.8919902912621359,268,0,0.78489377965377,135,0.1954791380658577,0,0.7629965867814971,0.7395427550294522,0.7549177972037556,0.8248811149731806,2337.0,166,0.2044195569193582,3.0,6.0,12,5.0011,1.0,5.001,,,,0.5192516125689508,28,1.0,0.0,Low,,,17.95,0.811,3.0,0.811,3.0,0.3132,1.262,1.882,2.1592,,,solid,
