gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank,LDT_NAS_score,LDT_NAS_best_res,SuFEx_CTR_score,SuFEx_CTR_best_res,Traditional_Acrylamide_score,Traditional_Acrylamide_best_res,best_strategy
PTK7,41,0.3493021151691047,0.4957983189110939,0.109739047920291,0.3935369107619329,0.006637,42,6,LYS,Q13308,5.455,0.984,-0.0599612825873093,Non-essential,82.7,14.2,9.4,0.4001484012894388,31,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GJB1,32,0.3579473483403046,0.5378151255984748,0.0083567926617112,0.4677142010080046,0.007888,18,3,LYS,P08034,1.331,0.562,0.0755525561283461,Non-essential,80.2,22.3,10.2,0.3999530423768951,32,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
MET,33,0.3576284408978785,0.4369747895487607,0.1306594970741736,0.4788022531870738,0.008075,66,23,LYS,P08581,3.673,0.884,-0.0124543468205462,Non-essential,79.2,21.4,13.9,0.3989066139073781,33,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC2A1,92,0.3156896699391135,0.3949579828613799,0.087028309346829,0.4386599466350429,0.007398,24,7,LYS,P11166,6.279,0.992,-0.4051544621694808,Context-dependent,90.3,6.1,4.9,0.3985573579969509,34,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CCR8,43,0.3450610082733876,0.6134453776357603,0.0576245453107702,0.2746516454195078,0.004632,10,14,LYS,P51685,-2.548,0.137,-0.0133776670090486,Non-essential,82.1,18.3,14.4,0.3944749298550856,35,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLITRK4,21,0.3763819777991422,0.2352941174493327,0.2653993357583425,0.675481766973021,0.011392,19,32,LYS,Q8IW52,-1.831,0.278,0.0629940287228361,Non-essential,68.1,40.3,35.0,0.3922732167901073,36,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CNTNAP2,45,0.3410316205252715,0.4201680668738084,0.1204554799936738,0.45609249925882,0.007692,57,17,LYS,Q9UHC6,-0.512,0.46,0.0144102007103527,Non-essential,83.4,16.1,11.0,0.3900958182189563,37,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
MPEG1,44,0.3449259409983737,0.3697478988489514,0.0442448204965997,0.6125111176993774,0.01033,40,8,LYS,Q2M385,2.418,0.924,-0.1512737823942658,Non-essential,82.7,19.0,10.2,0.3896007491461272,38,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GPR160,36,0.3526820897506701,0.5378151255984748,0.0132785070377985,0.445241624666469,0.007509,27,3,LYS,Q9UJ42,3.492,0.912,0.0335262326763529,Non-essential,76.5,29.3,17.8,0.388565326885533,39,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CNTNAP5,49,0.3336654434607574,0.2605042014617612,0.107600822394433,0.6572783871924103,0.011085,65,16,LYS,Q8WYK1,-9.966,0.051,0.0192016917964126,Non-essential,84.0,13.5,9.3,0.3838962729083273,40,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GJB2,64,0.325231179909707,0.6134453776357603,0.0084833148821761,0.2576934479691669,0.004346,12,4,LYS,P29033,3.354,0.842,-0.0494587003907636,Non-essential,86.2,12.8,2.7,0.3834500728853519,41,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
HLA-DPB1,51,0.3320077338773571,0.4117647055363322,0.0088439032105013,0.5488289356655796,0.009256,2,4,LYS,P04440,7.152,1.0,0.0426114636519852,Non-essential,87.4,15.5,1.9,0.3830358566567365,42,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CYBB,81,0.3187846977659736,0.403361344198856,0.1020907796931836,0.4227097539282537,0.007129,31,11,LYS,P04839,3.032,0.935,0.0887897364578418,Non-essential,90.2,4.6,0.5,0.3827766038749589,43,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
EPHB3,50,0.3334084864915573,0.4285714282112846,0.1011545152617428,0.438778535428402,0.0074,41,13,LYS,P54753,3.354,0.868,-0.0063500836790701,Non-essential,82.1,17.3,12.3,0.3826832625464858,44,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC15A1,74,0.3213568308820455,0.3949579828613799,0.0912731298434287,0.4533056626148828,0.007645,24,17,LYS,P46059,-1.831,0.329,0.0815600857940355,Non-essential,87.0,6.9,2.7,0.3824799921160609,45,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CLCA4,63,0.3256578367056941,0.2184873947743803,0.1413189941483473,0.6528906018381262,0.011011,36,23,LYS,Q14CN2,-5.012,0.182,-0.0012736867377465,Non-essential,89.3,8.6,5.0,0.3814229871676515,46,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GPR143,38,0.3515686422690766,0.4369747895487607,0.092019610944172,0.4972428105544025,0.008386,17,9,LYS,P51810,1.311,0.725,0.1074403908533944,Non-essential,73.5,33.9,23.8,0.3813567817167098,47,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SPPL2A,46,0.3394762057616052,0.2857142854741897,0.2160366914439348,0.5345982804624962,0.009016,21,17,LYS,Q8TCT8,4.932,1.0,0.0204405703331333,Non-essential,79.4,23.5,11.2,0.3791587428925742,48,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC19A1,40,0.3506409517666791,0.302521008149142,0.2553914281195635,0.5100504002371775,0.008602,19,30,LYS,P41440,3.217,0.992,-0.0226839682103804,Non-essential,72.1,34.3,31.5,0.3779428099413849,49,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
NETO2,37,0.3526530835180188,0.453781512223713,0.0147018820180294,0.5557663800770827,0.009373,11,4,LYS,Q8NC67,2.919,0.916,0.0326953737376259,Non-essential,72.1,39.8,29.9,0.3766405948020775,50,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ITGB4,39,0.351465423321957,0.403361344198856,0.3970330539300964,0.236703231544619,0.003992,85,38,LYS,P16144,5.797,0.994,-0.0569285429224851,Non-essential,68.4,38.4,24.0,0.3762105418382784,51,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC33A1,61,0.3259097035927667,0.3361344534990467,0.1673888976751542,0.4707975096353393,0.00794,15,17,LYS,O00400,3.91,0.999,-0.1620634513854923,Non-essential,82.4,16.9,13.3,0.3752936605522897,52,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ATP1B1,109,0.3121069192079195,0.3865546215239037,0.0124687648268227,0.5124814705010375,0.008643,13,5,LYS,P05026,6.861,0.998,-0.1254179681257649,Non-essential,89.6,6.6,0.3,0.3749316763653313,53,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
MST1R,55,0.3285047702159185,0.3781512601864275,0.1968622489324687,0.3939519715386895,0.006644,58,14,LYS,Q04912,2.79,0.748,-0.052916208613663,Non-essential,80.1,20.4,13.8,0.3746564961830392,54,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
VTCN1,103,0.3127493586874238,0.6134453776357603,0.0031061205124149,0.2214645715979839,0.003735,6,4,LYS,Q7Z7D3,-0.492,0.462,-0.1553564314757152,Non-essential,88.5,11.7,7.8,0.3741485552001158,55,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CPD,65,0.3251627486415298,0.352941176173999,0.0914376087300332,0.5218499851764008,0.008801,54,22,LYS,O75976,3.961,0.998,-0.1832010891097102,Non-essential,82.5,17.8,13.6,0.3740513101375082,56,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC9A7,35,0.355350351964318,0.3865546215239037,0.1510991617902894,0.5179958493922324,0.008736,33,15,LYS,Q96T83,2.053,0.916,0.0153554697984122,Non-essential,67.1,43.9,26.3,0.3736678703289967,57,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OR2T33,336,0.2695665398819519,0.2605042014617612,0.0821382255258579,0.4690779721316335,0.007911,18,10,LYS,Q8NG76,-9.966,0.001,-0.6056867939587738,Essential,88.7,6.6,1.9,0.3723805199259892,58,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CATSPERG,78,0.3193489705199096,0.2605042014617612,0.2936770520322632,0.4234805810850874,0.007142,71,35,LYS,Q6ZRH7,0.934,0.755,-0.1049606397546933,Non-essential,83.9,13.1,7.2,0.372365878790954,59,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
EFNA4,66,0.3250862165206689,0.4453781508862369,0.0127597659338921,0.4770234212866883,0.008045,7,5,LYS,P52798,3.842,0.978,-0.1592574236990451,Non-essential,82.7,21.4,11.4,0.371928149615328,60,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
EPHA10,60,0.3266536166893555,0.3613445375114751,0.1918140123359165,0.415238659946635,0.007003,42,18,LYS,Q5JZY3,-0.357,0.455,-0.1017577756288418,Non-essential,79.2,22.0,12.8,0.3712337561996542,61,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SVOPL,84,0.3180005325182108,0.3361344534990467,0.1781432864146765,0.4336792173139638,0.007314,22,14,LYS,Q8N434,-1.51,0.305,0.005448830475048,Non-essential,83.8,14.4,10.4,0.3712026846568264,62,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC22A14,69,0.3241218249205634,0.2605042014617612,0.2483947493278507,0.4846723984583457,0.008174,17,26,LYS,Q9Y267,-4.293,0.003,0.0437813258989124,Non-essential,81.2,19.4,12.5,0.3700432574581655,63,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
PLAUR,62,0.3257091683506955,0.4117647055363322,0.0294733512573145,0.5072042691965609,0.008554,16,4,LYS,Q03405,4.751,0.992,-0.0848302574872164,Non-essential,81.5,24.2,18.2,0.3690870520511851,64,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC22A9,106,0.3126603712719629,0.2605042014617612,0.2180167641942116,0.4768455380966498,0.008042,33,11,LYS,Q8IVM8,-9.966,0.043,-0.1244239718895047,Non-essential,85.7,11.2,4.3,0.3686920460843317,65,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ATP1A1,406,0.2622945342612204,0.3361344534990467,0.0639063735568559,0.3622294693151496,0.006109,49,13,LYS,P05023,8.109,1.0,-1.249447818147238,Essential,88.7,5.7,2.9,0.3684810194426677,66,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
DUOX2,91,0.3160297493865433,0.2689075627992374,0.221186145816859,0.4737029350726355,0.007989,78,22,LYS,Q9NRD8,-1.552,0.377,-0.1470485056814292,Non-essential,84.0,14.4,7.6,0.3684399172021067,67,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
OTOA,100,0.3133814515731918,0.2689075627992374,0.1561473983868417,0.5299140231248147,0.008937,62,18,LYS,Q7RTW8,-2.548,0.048,0.018269891818062,Non-essential,84.0,12.4,7.9,0.3682330023576472,68,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
FCGR1A,280,0.2758439262306208,0.4789915962361415,0.0095524276451051,0.2712718648087756,0.004575,9,4,LYS,P12314,3.541,0.961,-0.7475102334035815,Essential,85.1,19.8,9.1,0.3680531317961196,69,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
NPC1L1,105,0.3127189928294593,0.2436974787868088,0.2787474300173968,0.4387192410317225,0.007399,68,36,LYS,Q9UHC9,-3.816,0.134,-0.2147768885786263,Non-essential,84.2,12.7,6.4,0.3669607853376629,70,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
PKDREJ,48,0.3378475484343457,0.2605042014617612,0.2886920765459433,0.4901274829528609,0.008266,129,33,LYS,Q9NTG1,-4.035,0.001,-0.0120674287279553,Non-essential,70.7,34.7,16.7,0.3661813603863175,71,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TNFRSF21,42,0.3456417113816308,0.453781512223713,0.0303463545785228,0.5167506670619626,0.008715,24,7,LYS,O75509,4.871,0.994,0.1112581767834228,Non-essential,68.0,44.9,40.2,0.3656977846884209,72,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
LAMP1,110,0.3116659497985609,0.302521008149142,0.1268385260161315,0.5086866291135487,0.008579,13,18,LYS,P11279,7.212,1.0,0.1116357874083905,Non-essential,86.4,14.4,5.8,0.3653636416346197,73,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ABCC11,93,0.3156755048451127,0.2773109241367135,0.3780863514154673,0.3044174325526237,0.005134,85,34,LYS,Q96J66,-2.466,0.17,0.0414063150005394,Non-essential,78.9,17.9,11.0,0.3647847694398725,74,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CSF1R,71,0.3232852447457871,0.3109243694866181,0.2562328008856555,0.406818855618144,0.006861,31,39,LYS,P07333,3.701,0.983,-0.0114940264641004,Non-essential,77.8,25.0,18.7,0.3645864434462662,75,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ATP13A5,87,0.3170750626678119,0.2436974787868088,0.232490906215404,0.499495997628224,0.008424,63,37,LYS,Q4VNC0,-4.293,0.13,0.0843678554412426,Non-essential,78.8,18.9,9.4,0.3643908435362901,76,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ABCC12,90,0.3162655287310325,0.2605042014617612,0.2370899889293057,0.4697895048917876,0.007923,75,20,LYS,Q96J65,-9.966,0.036,0.0478070161525295,Non-essential,77.8,18.6,10.9,0.3642963439668898,77,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
PKD1L2,47,0.3386435577091001,0.2184873947743803,0.2323960145500553,0.6050993181144382,0.010205,122,31,LYS,Q7Z442,-1.831,0.212,0.3428210438771893,Non-essential,71.0,36.6,12.4,0.3642444213371565,78,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ATP13A2,98,0.3139095041334894,0.3193277308240944,0.2208318835995572,0.3997628224132818,0.006742,65,30,LYS,Q9NQ11,4.824,1.0,-0.0371736732468807,Non-essential,79.6,17.7,10.3,0.3642133822916428,79,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CCR6,80,0.3188273559757369,0.3697478988489514,0.0945753597975644,0.4751852949896235,0.008014,9,19,LYS,P51684,-1.165,0.286,0.0517808793587361,Non-essential,79.6,23.3,15.2,0.3635519282939299,80,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
GPR39,56,0.3279374101806823,0.4873949575736176,0.1618535505298118,0.2814112066409724,0.004746,18,19,LYS,O43194,1.164,0.677,0.0470182572933783,Non-essential,76.1,32.9,22.1,0.3635044244434622,81,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
NRP2,68,0.3242207000341607,0.302521008149142,0.1921682745532184,0.4852060480284612,0.008183,28,19,LYS,O60462,3.683,0.975,-0.0082061486580014,Non-essential,78.6,27.0,18.6,0.3632259334976196,82,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SGCZ,104,0.3127392768003659,0.2605042014617612,0.1805092519373715,0.5146160687815,0.008679,5,10,LYS,Q96LD1,-9.966,0.013,0.1229343118500815,Non-essential,80.5,17.4,10.4,0.3625578006913343,83,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
EGFR,59,0.3271376104720684,0.252100840124285,0.2977573936422584,0.4565668544322561,0.0077,49,35,LYS,P00533,3.552,0.932,-0.1302986571891825,Non-essential,75.9,29.3,22.8,0.3625163560621284,84,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
CD109,115,0.3095389465102891,0.2857142854741897,0.1288755337656175,0.5219685739697598,0.008803,65,34,LYS,Q6YHK3,1.556,0.758,0.0087860699252724,Non-essential,81.3,15.4,8.0,0.3623110268498107,85,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ATP1A3,160,0.2957168245426622,0.2857142854741897,0.1487964573778269,0.455973910465461,0.00769,45,20,LYS,P13637,-1.355,0.299,-0.1100081294289266,Non-essential,88.8,4.6,2.1,0.3615925918767883,86,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
SLC22A11,143,0.3003701451241418,0.2941176468116659,0.1898655701407559,0.4192113845241624,0.00707,24,12,LYS,Q9NSA0,-3.816,0.143,-0.0675258235313329,Non-essential,87.6,8.9,0.5,0.3613104150503126,87,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
TRPV4,57,0.3274833074337279,0.3949579828613799,0.0940249881385418,0.470975392825378,0.007943,43,16,LYS,Q9HBA0,1.112,0.692,-0.101548366970855,Non-essential,71.6,33.3,25.4,0.3611853892424629,88,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
FRRS1,146,0.2997253789032278,0.3109243694866181,0.0661078601929463,0.518410910168989,0.008743,20,11,LYS,Q6ZNA5,1.085,0.713,-0.0545623186473155,Non-essential,88.3,8.8,3.5,0.3611532219108002,89,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
ABCA4,85,0.3179520114598057,0.2689075627992374,0.3220496599715325,0.3792469611621701,0.006396,148,26,LYS,P78363,-1.994,0.201,-0.1424312693913456,Non-essential,75.7,23.3,8.0,0.3611418022631587,90,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
IGF1R,82,0.3182889843370758,0.2857142854741897,0.1592282144551637,0.5207826860361695,0.008783,55,16,LYS,P08069,3.186,0.945,-0.1785887649551847,Non-essential,78.0,24.8,15.7,0.3602027250387997,91,0.1061,LYS,0.0893,HIS,0.1154,CYS,Traditional_Acrylamide
