gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank
LAMP1,110,0.3116659497985609,0.302521008149142,0.1268385260161315,0.5086866291135487,0.008579,13,18,LYS,P11279,7.212,1.0,0.11163578740839056,Non-essential,86.4,14.4,5.8,0.36536364163461976,73
ABCC11,93,0.3156755048451127,0.2773109241367135,0.3780863514154673,0.3044174325526237,0.005134,85,34,LYS,Q96J66,-2.466,0.17,0.04140631500053945,Non-essential,78.9,17.9,11.0,0.3647847694398725,74
CSF1R,71,0.3232852447457871,0.3109243694866181,0.2562328008856555,0.406818855618144,0.006861,31,39,LYS,P07333,3.701,0.983,-0.011494026464100499,Non-essential,77.8,25.0,18.7,0.36458644344626623,75
ATP13A5,87,0.3170750626678119,0.2436974787868088,0.232490906215404,0.499495997628224,0.008424,63,37,LYS,Q4VNC0,-4.293,0.13,0.0843678554412426,Non-essential,78.8,18.9,9.4,0.3643908435362901,76
ABCC12,90,0.3162655287310325,0.2605042014617612,0.2370899889293057,0.4697895048917876,0.007923,75,20,LYS,Q96J65,-9.966,0.036,0.0478070161525295,Non-essential,77.8,18.6,10.9,0.3642963439668898,77
PKD1L2,47,0.3386435577091001,0.2184873947743803,0.2323960145500553,0.6050993181144382,0.010205,122,31,LYS,Q7Z442,-1.831,0.212,0.34282104387718937,Non-essential,71.0,36.6,12.4,0.3642444213371565,78
ATP13A2,98,0.3139095041334894,0.3193277308240944,0.2208318835995572,0.3997628224132818,0.006742,65,30,LYS,Q9NQ11,4.824,1.0,-0.03717367324688075,Non-essential,79.6,17.7,10.3,0.3642133822916428,79
CCR6,80,0.3188273559757369,0.3697478988489514,0.0945753597975644,0.4751852949896235,0.008014,9,19,LYS,P51684,-1.165,0.286,0.051780879358736154,Non-essential,79.6,23.3,15.2,0.3635519282939299,80
GPR39,56,0.3279374101806823,0.4873949575736176,0.1618535505298118,0.2814112066409724,0.004746,18,19,LYS,O43194,1.164,0.677,0.0470182572933783,Non-essential,76.1,32.9,22.1,0.3635044244434622,81
NRP2,68,0.3242207000341607,0.302521008149142,0.1921682745532184,0.4852060480284612,0.008183,28,19,LYS,O60462,3.683,0.975,-0.008206148658001448,Non-essential,78.6,27.0,18.6,0.3632259334976196,82
SGCZ,104,0.3127392768003659,0.2605042014617612,0.1805092519373715,0.5146160687815,0.008679,5,10,LYS,Q96LD1,-9.966,0.013,0.12293431185008155,Non-essential,80.5,17.4,10.4,0.3625578006913343,83
EGFR,59,0.3271376104720684,0.252100840124285,0.2977573936422584,0.4565668544322561,0.0077,49,35,LYS,P00533,3.552,0.932,-0.1302986571891825,Non-essential,75.9,29.3,22.8,0.3625163560621284,84
CD109,115,0.3095389465102891,0.2857142854741897,0.1288755337656175,0.5219685739697598,0.008803,65,34,LYS,Q6YHK3,1.556,0.758,0.008786069925272401,Non-essential,81.3,15.4,8.0,0.36231102684981076,85
ATP1A3,160,0.2957168245426622,0.2857142854741897,0.1487964573778269,0.455973910465461,0.00769,45,20,LYS,P13637,-1.355,0.299,-0.1100081294289266,Non-essential,88.8,4.6,2.1,0.3615925918767883,86
SLC22A11,143,0.3003701451241418,0.2941176468116659,0.1898655701407559,0.4192113845241624,0.00707,24,12,LYS,Q9NSA0,-3.816,0.143,-0.06752582353133299,Non-essential,87.6,8.9,0.5,0.36131041505031264,87
TRPV4,57,0.3274833074337279,0.3949579828613799,0.0940249881385418,0.470975392825378,0.007943,43,16,LYS,Q9HBA0,1.112,0.692,-0.101548366970855,Non-essential,71.6,33.3,25.4,0.3611853892424629,88
FRRS1,146,0.2997253789032278,0.3109243694866181,0.0661078601929463,0.518410910168989,0.008743,20,11,LYS,Q6ZNA5,1.085,0.713,-0.0545623186473155,Non-essential,88.3,8.8,3.5,0.3611532219108002,89
ABCA4,85,0.3179520114598057,0.2689075627992374,0.3220496599715325,0.3792469611621701,0.006396,148,26,LYS,P78363,-1.994,0.201,-0.1424312693913456,Non-essential,75.7,23.3,8.0,0.36114180226315873,90
IGF1R,82,0.3182889843370758,0.2857142854741897,0.1592282144551637,0.5207826860361695,0.008783,55,16,LYS,P08069,3.186,0.945,-0.17858876495518478,Non-essential,78.0,24.8,15.7,0.3602027250387997,91
ICAM3,131,0.3025039942217187,0.3781512601864275,0.0013284833148821,0.5028164838422768,0.00848,6,3,LYS,P32942,4.039,0.995,-0.05580545416864755,Non-essential,87.1,13.2,10.2,0.3601891828545394,92
SLC6A14,172,0.2923330638254246,0.5798319322858556,0.0353692867309821,0.165965016305959,0.002799,20,12,LYS,Q9UN76,-2.114,0.368,0.0880369915465942,Non-essential,89.5,8.1,6.2,0.36017475205928473,93
MFSD11,137,0.3010041943250917,0.2857142854741897,0.1265158943539459,0.4958790394307737,0.008363,18,14,LYS,O43934,4.037,1.0,-0.15481119501056684,Non-essential,87.7,10.5,4.7,0.3600987333621463,94
IGF2R,76,0.3206925046951804,0.302521008149142,0.2657915546417839,0.3998221168099614,0.006743,115,37,LYS,P11717,4.584,1.0,0.09668774802787874,Non-essential,73.1,27.5,9.7,0.35978577071513607,95
OR52R1,99,0.3136821511082014,0.2605042014617612,0.0692139807053613,0.6290542543729617,0.010609,13,9,LYS,Q8NGF1,-9.966,0.0,,No data,85.3,6.0,3.5,0.3597435292811971,96
ANO1,86,0.3177117768728038,0.3193277308240944,0.2038589277241815,0.4294100207530388,0.007242,54,23,LYS,Q5XXA6,3.448,0.889,-0.0725232594784543,Non-essential,76.6,25.8,14.6,0.3592819429077381,97
TMEM37,136,0.3012107277290616,0.3613445375114751,0.0151573620117033,0.5070856804032019,0.008552,6,3,LYS,Q8WXS4,2.825,0.94,0.09990746535006645,Non-essential,87.4,13.2,7.4,0.3588313487327426,98
IL2RG,54,0.3286775443556077,0.453781512223713,0.0042764510517159,0.4862733471686925,0.008201,10,4,LYS,P31785,3.899,0.958,0.07168642064720455,Non-essential,75.5,38.8,23.8,0.3576609788334017,99
PAM,53,0.3300031241146537,0.2352941174493327,0.2441562549422742,0.5421286688407945,0.009143,24,29,LYS,P19021,6.236,1.0,0.034251731361831406,Non-essential,71.7,36.7,31.7,0.35722417205303364,100
MEP1A,126,0.3038367662368282,0.302521008149142,0.1421287363593231,0.4672991402312481,0.007881,27,16,LYS,Q16819,-5.012,0.092,0.052320941390647954,Non-essential,84.5,16.2,12.1,0.3570393219998425,101
NOX4,154,0.2965791379859994,0.352941176173999,0.1545342400759133,0.3634746516454195,0.00613,35,22,LYS,Q9NPH5,1.293,0.742,-0.0075875639407200005,Non-essential,87.0,11.1,7.8,0.3569316345912329,102
CHRNA5,125,0.3042193594060108,0.403361344198856,0.0216985608097422,0.4545508449451526,0.007666,26,3,LYS,P30532,1.158,0.675,-0.0580296617036663,Non-essential,81.2,18.4,13.2,0.3568388219083233,103
TMEM63C,75,0.3210681956515177,0.3109243694866181,0.1339300964731931,0.5217313963830418,0.008799,44,14,LYS,Q9P1W3,-0.134,0.485,0.0103915688091007,Non-essential,74.3,31.9,18.6,0.35583890253437506,104
SLCO6A1,88,0.317000595636971,0.2605042014617612,0.1542748695239601,0.5550548473169284,0.009361,39,25,LYS,Q86UG4,-9.966,0.023,0.032372454683551,Non-essential,76.7,28.4,20.9,0.35510889972183857,105
SLAMF7,97,0.3139565005263027,0.5126050415860463,0.0061553060256207,0.3568929736139934,0.006019,6,2,LYS,Q9NQ25,1.832,0.76,-0.01023075408141085,Non-essential,78.2,30.4,17.3,0.35477383446501976,106
DUOX1,150,0.2978109738810089,0.2689075627992374,0.1705962359639411,0.4635635932404388,0.007818,76,21,LYS,Q9NRD9,1.368,0.725,-0.0249761163823576,Non-essential,85.6,13.3,7.9,0.3543576042808281,107
CD2,73,0.3227709745227219,0.4873949575736176,0.001910485529021,0.424132819448562,0.007153,8,4,LYS,P06729,2.404,0.84,0.020923109593541447,Non-essential,77.7,37.9,17.9,0.3541990613951619,108
PTGFRN,152,0.2973850112898037,0.3697478988489514,0.0280816068321999,0.4702045656685442,0.00793,22,7,LYS,Q9P2B2,5.035,0.997,-0.043753024784481453,Non-essential,84.1,15.0,3.4,0.35398330772231906,109
CCR1,149,0.298608942442827,0.3865546215239037,0.0203068163846275,0.4596501630595908,0.007752,18,6,LYS,P32246,1.656,0.822,0.061114195352005796,Non-essential,83.2,16.9,11.8,0.35338336239442086,110
PTPRC,102,0.3129809070396545,0.3277310921615705,0.1573177289261426,0.4489771716572783,0.007572,45,24,LYS,P08575,2.734,0.906,-0.1094829791827375,Non-essential,76.0,28.0,24.9,0.35327960740240494,111
ABCA2,72,0.32301188529931,0.2436974787868088,0.3093215245927566,0.4424547880225318,0.007462,125,45,LYS,Q9BZC7,4.526,0.999,0.0098276950230525,Non-essential,70.8,35.2,16.3,0.35303819572920514,112
SLC6A11,159,0.2957224621948606,0.3277310921615705,0.0994338130634192,0.4493329380373554,0.007578,20,18,LYS,P48066,-3.171,0.321,0.04591070383203805,Non-essential,86.6,13.9,11.4,0.3529975700317433,113
CLDN7,156,0.2963472804534642,0.6554621843231411,0.0045358216036691,0.1093388674770234,0.001844,5,4,LYS,O95471,6.468,0.93,-0.1334736815878591,Non-essential,82.6,19.9,10.9,0.3529804367832725,114
P2RY13,127,0.3037081687559489,0.3361344534990467,0.0829479677368337,0.4812333234509338,0.008116,15,23,LYS,Q9BPV8,0.19,0.545,0.06497747866396815,Non-essential,83.1,20.9,11.6,0.35279238152160824,115
TECTA,118,0.3065414074234098,0.252100840124285,0.1350624703463545,0.550607767565965,0.009286,112,16,LYS,O75443,-2.548,0.058,0.13820544411769092,Non-essential,77.4,21.9,8.7,0.35275285352157965,116
ADAM8,89,0.3163105393886067,0.3277310921615705,0.1448173335442037,0.4725763415357248,0.00797,45,28,LYS,P78325,2.446,0.927,0.1774288891962998,Non-essential,73.7,32.3,23.7,0.3517543010265318,117
TMPRSS13,79,0.3191429386932858,0.4705882348986654,0.0267531235173177,0.4096056922620812,0.006908,22,6,LYS,Q9BYE2,0.888,0.573,-0.037527816455507054,Non-essential,73.6,37.2,30.7,0.3515955861593826,118
ROS1,94,0.3156295109438388,0.2605042014617612,0.2421445516368812,0.4626148828935665,0.007802,94,45,LYS,P08922,-6.506,0.127,0.10705484392289344,Non-essential,72.2,31.2,14.4,0.3511663291442284,119
SLC12A5,139,0.3006552934403873,0.4201680668738084,0.0561315831092835,0.3858286391935961,0.006507,61,9,LYS,Q9H2X9,1.872,0.855,0.01474947046483595,Non-essential,78.5,21.9,16.5,0.35064887898155284,120
CD5,83,0.3182823008381841,0.3697478988489514,0.0142527281353787,0.5536910761932997,0.009338,15,3,LYS,P06127,0.264,0.552,-0.17108561974745606,Non-essential,73.4,35.8,23.2,0.35059771567930265,121
NPC1,187,0.2888883150912125,0.252100840124285,0.27378775897517,0.353038837829825,0.005954,52,37,LYS,O15118,4.525,1.0,-0.04362595757671935,Non-essential,85.1,9.5,3.5,0.35044194324474853,122
SLC9A2,58,0.3273507516859484,0.3613445375114751,0.1492519373715009,0.4601245182330269,0.00776,39,13,LYS,Q9UBY0,-1.43,0.338,-0.0038213780539391,Non-essential,66.2,44.1,32.6,0.34971470203014826,123
LAMP2,162,0.2948064636339006,0.3613445375114751,0.022508303020718,0.4783871924103172,0.008068,8,10,LYS,P13473,6.508,1.0,0.22091443205497396,Non-essential,83.2,17.1,12.0,0.34959446198677513,124
SLC2A2,177,0.2911543538003245,0.2605042014617612,0.1571216194844219,0.4660539579009783,0.00786,19,14,LYS,P11168,-9.966,0.128,0.0015147909270762502,Non-essential,86.6,12.4,9.2,0.3495703648579665,125
SLC16A1,153,0.2968918123531855,0.352941176173999,0.1374916969792819,0.3815594426326711,0.006435,8,12,LYS,P53985,4.134,0.977,-0.19591702718077592,Non-essential,83.1,19.6,16.2,0.34869219656388795,126
