gene,uniprot_id,n_pockets,max_pocket_volume,n_nucleophiles,ldt_score,top_res_type,tsi_norm,tsi,pocket_norm,ldt_norm,final_score,rank,plddt_below_70,plddt_term,composite_primary,rank_primary
MET,P08581,66,2065.4,23,0.008075,LYS,0.4369747895487607,0.021,0.1306594970741736,0.4788022531870738,0.3576284408978785,33,21.4,0.786,0.39043958876108675,31
TACSTD2,P09758,9,226.3,5,0.003816,LYS,0.7226890750229503,0.055,0.0143159892456112,0.2262674177290246,0.3612506521015708,30,25.1,0.749,0.38870282746397217,32
NETO1,Q8TDF5,14,91.1,4,0.016,LYS,0.252100840124285,-0.001,0.0057630871421793,0.9487103468722206,0.387182366254034,15,40.7,0.593,0.3864418069042087,33
GJB1,P08034,18,132.1,3,0.007888,LYS,0.5378151255984748,0.033,0.0083567926617112,0.4677142010080046,0.3579473483403046,32,22.3,0.777,0.38537088200998065,34
CCR8,P51685,10,910.9,14,0.004632,LYS,0.6134453776357603,0.042,0.0576245453107702,0.2746516454195078,0.3450610082733876,43,18.3,0.817,0.3823561571206241,35
CNTNAP2,Q9UHC6,57,1904.1,17,0.007692,LYS,0.4201680668738084,0.019,0.1204554799936738,0.45609249925882,0.3410316205252715,45,16.1,0.839,0.3811185922186401,36
ITGB4,P16144,85,6276.1,38,0.003992,LYS,0.403361344198856,0.017,0.3970330539300964,0.236703231544619,0.351465423321957,39,38.4,0.616,0.3810621945347832,37
MPEG1,Q2M385,40,699.4,8,0.01033,LYS,0.3697478988489514,0.013,0.0442448204965997,0.6125111176993774,0.3449259409983737,44,19.0,0.81,0.3768129901709572,38
SLC19A1,P41440,19,4037.1,30,0.008602,LYS,0.302521008149142,0.005,0.2553914281195635,0.5100504002371775,0.3506409517666791,40,34.3,0.657,0.3757123813473632,39
SPPL2A,Q8TCT8,21,3415.0,17,0.009016,LYS,0.2857142854741897,0.003,0.2160366914439348,0.5345982804624962,0.3394762057616052,46,23.5,0.765,0.3749605774647709,40
CNTNAP5,Q8WYK1,65,1700.9,16,0.011085,LYS,0.2605042014617612,0.0,0.107600822394433,0.6572783871924103,0.3336654434607574,49,13.5,0.865,0.3742763140280489,41
GPR160,Q9UJ42,27,209.9,3,0.007509,LYS,0.5378151255984748,0.033,0.0132785070377985,0.445241624666469,0.3526820897506701,36,29.3,0.7070000000000001,0.374229252237423,42
CLCA4,Q14CN2,36,2233.9,23,0.011011,LYS,0.2184873947743803,-0.005,0.1413189941483473,0.6528906018381262,0.3256578367056941,63,8.6,0.914,0.3734889368750689,43
CYBB,P04839,31,1613.8,11,0.007129,LYS,0.403361344198856,0.017,0.1020907796931836,0.4227097539282537,0.3187846977659736,81,4.6,0.954,0.3728811428596181,44
EPHB3,P54753,41,1599.0,13,0.0074,LYS,0.4285714282112846,0.02,0.1011545152617428,0.438778535428402,0.3334084864915573,50,17.3,0.827,0.3727409883095729,45
CATSPERG,Q6ZRH7,71,4642.3,35,0.007142,LYS,0.2605042014617612,0.0,0.2936770520322632,0.4234805810850874,0.3193489705199096,78,13.1,0.869,0.37204973139256725,46
SLC15A1,P46059,24,1442.8,17,0.007645,LYS,0.3949579828613799,0.016,0.0912731298434287,0.4533056626148828,0.3213568308820455,74,6.9,0.931,0.3720436486082323,47
GPR143,P51810,17,1454.6,9,0.008386,LYS,0.4369747895487607,0.021,0.092019610944172,0.4972428105544025,0.3515686422690766,38,33.9,0.661,0.3709577622639184,48
MST1R,Q04912,58,3111.9,14,0.006644,LYS,0.3781512601864275,0.014,0.1968622489324687,0.3939519715386895,0.3285047702159185,55,20.4,0.796,0.3694996086296626,49
GJB2,P29033,12,134.1,4,0.004346,LYS,0.6134453776357603,0.042,0.0084833148821761,0.2576934479691669,0.325231179909707,64,12.8,0.872,0.36887423862946067,50
ABCC11,Q96J66,85,5976.6,34,0.005134,LYS,0.2773109241367135,0.002,0.3780863514154673,0.3044174325526237,0.3156755048451127,93,17.9,0.821,0.36868908701064584,51
SLC33A1,O00400,15,2646.0,17,0.00794,LYS,0.3361344534990467,0.009,0.1673888976751542,0.4707975096353393,0.3259097035927667,61,16.9,0.831,0.36866310543604747,52
HLA-DPB1,P04440,2,139.8,4,0.009256,LYS,0.4117647055363322,0.018,0.0088439032105013,0.5488289356655796,0.3320077338773571,51,15.5,0.845,0.36847805181726156,53
SLC2A1,P11166,24,1375.7,7,0.007398,LYS,0.3949579828613799,0.016,0.087028309346829,0.4386599466350429,0.3156896699391135,92,6.1,0.9390000000000001,0.3679087734642924,54
SLC22A14,Q9Y267,17,3926.5,26,0.008174,LYS,0.2605042014617612,-0.0,0.2483947493278507,0.4846723984583457,0.3241218249205634,69,19.4,0.806,0.36746299492455803,55
SLC9A7,Q96T83,33,2388.5,15,0.008736,LYS,0.3865546215239037,0.015,0.1510991617902894,0.5179958493922324,0.355350351964318,35,43.9,0.5609999999999999,0.3662228284185112,56
NPC1L1,Q9UHC9,68,4406.3,36,0.007399,LYS,0.2436974787868088,-0.002,0.2787474300173968,0.4387192410317225,0.3127189928294593,105,12.7,0.873,0.3658981568385327,57
EPHA10,Q5JZY3,42,3032.1,18,0.007003,LYS,0.3613445375114751,0.012,0.1918140123359165,0.415238659946635,0.3266536166893555,60,22.0,0.78,0.36582445681645,58
PKDREJ,Q9NTG1,129,4563.5,33,0.008266,LYS,0.2605042014617612,-0.0,0.2886920765459433,0.4901274829528609,0.3378475484343457,48,34.7,0.653,0.36561596421361464,59
SVOPL,Q8N434,22,2816.0,14,0.007314,LYS,0.3361344534990467,0.009,0.1781432864146765,0.4336792173139638,0.3180005325182108,84,14.4,0.856,0.36510984897756027,60
SLC22A9,Q8IVM8,33,3446.3,11,0.008042,LYS,0.2605042014617612,0.0,0.2180167641942116,0.4768455380966498,0.3126603712719629,106,11.2,0.888,0.36459288429404235,61
DUOX2,Q9NRD8,78,3496.4,22,0.007989,LYS,0.2689075627992374,0.001,0.221186145816859,0.4737029350726355,0.3160297493865433,91,14.4,0.856,0.3644992244929497,62
CPD,O75976,54,1445.4,22,0.008801,LYS,0.352941176173999,0.011,0.0914376087300332,0.5218499851764008,0.3251627486415298,65,17.8,0.822,0.36362319057400977,63
OR52R1,Q8NGF1,13,1094.1,9,0.010609,LYS,0.2605042014617612,0.0,0.0692139807053613,0.6290542543729617,0.3136821511082014,99,6.0,0.94,0.36320422831646526,64
EGFR,P00533,49,4706.8,35,0.0077,LYS,0.252100840124285,-0.001,0.2977573936422584,0.4565668544322561,0.3271376104720684,59,29.3,0.7070000000000001,0.36240422574424125,65
CSF1R,P07333,31,4050.4,39,0.006861,LYS,0.3109243694866181,0.006,0.2562328008856555,0.406818855618144,0.3232852447457871,71,25.0,0.75,0.362398083490549,66
NETO2,Q8NC67,11,232.4,4,0.009373,LYS,0.453781512223713,0.023,0.0147018820180294,0.5557663800770827,0.3526530835180188,37,39.8,0.6020000000000001,0.36237568890297905,67
ABCA4,P78363,148,5090.8,26,0.006396,LYS,0.2689075627992374,0.001,0.3220496599715325,0.3792469611621701,0.3179520114598057,85,23.3,0.767,0.36224428526173535,68
ABCC12,Q96J65,75,3747.8,20,0.007923,LYS,0.2605042014617612,0.0,0.2370899889293057,0.4697895048917876,0.3162655287310325,90,18.6,0.814,0.361150843413355,69
OTOA,Q7RTW8,62,2468.3,18,0.008937,LYS,0.2689075627992374,0.001,0.1561473983868417,0.5299140231248147,0.3133814515731918,100,12.4,0.876,0.36104037227698926,70
ATP13A5,Q4VNC0,63,3675.1,37,0.008424,LYS,0.2436974787868088,-0.002,0.232490906215404,0.499495997628224,0.3170750626678119,87,18.9,0.811,0.3610153888470603,71
PKD1L2,Q7Z442,122,3673.6,31,0.010205,LYS,0.2184873947743803,-0.005,0.2323960145500553,0.6050993181144382,0.3386435577091001,47,36.6,0.634,0.36086422206465923,72
ATP1B1,P05026,13,197.1,5,0.008643,LYS,0.3865546215239037,0.015,0.0124687648268227,0.5124814705010375,0.3121069192079195,109,6.6,0.9339999999999999,0.3605551146066725,73
ATP13A2,Q9NQ11,65,3490.8,30,0.006742,LYS,0.3193277308240944,0.007,0.2208318835995572,0.3997628224132818,0.3139095041334894,98,17.7,0.823,0.36025497647162064,74
VTCN1,Q7Z7D3,6,49.1,4,0.003735,LYS,0.6134453776357603,0.042,0.0031061205124149,0.2214645715979839,0.3127493586874238,103,11.7,0.883,0.35930386122573654,75
IGF2R,P11717,115,4201.5,37,0.006743,LYS,0.302521008149142,0.005,0.2657915546417839,0.3998221168099614,0.3206925046951804,76,27.5,0.725,0.3580753484472252,76
NRP2,O60462,28,3037.7,19,0.008183,LYS,0.302521008149142,0.005,0.1921682745532184,0.4852060480284612,0.3242207000341607,68,27.0,0.73,0.3578343472252805,77
EFNA4,P52798,7,201.7,5,0.008045,LYS,0.4453781508862369,0.022,0.0127597659338921,0.4770234212866883,0.3250862165206689,66,21.4,0.786,0.35756613791202263,78
LAMP1,P11279,13,2005.0,18,0.008579,LYS,0.302521008149142,0.005,0.1268385260161315,0.5086866291135487,0.3116659497985609,110,14.4,0.856,0.3567055679354263,79
GPR39,O43194,18,2558.5,19,0.004746,LYS,0.4873949575736176,0.027,0.1618535505298118,0.2814112066409724,0.3279374101806823,56,32.9,0.671,0.3565971019699528,80
SGCZ,Q96LD1,5,2853.4,10,0.008679,LYS,0.2605042014617612,0.0,0.1805092519373715,0.5146160687815,0.3127392768003659,104,17.4,0.8260000000000001,0.3565832632882029,81
SLC22A11,Q9NSA0,24,3001.3,12,0.00707,LYS,0.2941176468116659,0.004,0.1898655701407559,0.4192113845241624,0.3003701451241418,143,8.9,0.911,0.3558036935573505,82
PLAUR,Q03405,16,465.9,4,0.008554,LYS,0.4117647055363322,0.018,0.0294733512573145,0.5072042691965609,0.3257091683506955,62,24.2,0.758,0.3555607196140508,83
ANO1,Q5XXA6,54,3222.5,23,0.007242,LYS,0.3193277308240944,0.007,0.2038589277241815,0.4294100207530388,0.3177117768728038,86,25.8,0.742,0.35447488929394716,84
PAM,P19021,24,3859.5,29,0.009143,LYS,0.2352941174493327,-0.003,0.2441562549422742,0.5421286688407945,0.3300031241146537,53,36.7,0.633,0.35443198480014737,85
ATP1A3,P13637,45,2352.1,20,0.00769,LYS,0.2857142854741897,0.003,0.1487964573778269,0.455973910465461,0.2957168245426622,160,4.6,0.954,0.3540324147456797,86
CD109,Q6YHK3,65,2037.2,34,0.008803,LYS,0.2857142854741897,0.003,0.1288755337656175,0.5219685739697598,0.3095389465102891,115,15.4,0.846,0.35375480353809163,87
ABCA2,Q9BZC7,125,4889.6,45,0.007462,LYS,0.2436974787868088,-0.002,0.3093215245927566,0.4424547880225318,0.32301188529931,72,35.2,0.6479999999999999,0.35350427195884304,88
CCR6,P51684,9,1495.0,19,0.008014,LYS,0.3697478988489514,0.013,0.0945753597975644,0.4751852949896235,0.3188273559757369,80,23.3,0.767,0.35328069628380815,89
IGF1R,P08069,55,2517.0,16,0.008783,LYS,0.2857142854741897,0.003,0.1592282144551637,0.5207826860361695,0.3182889843370758,82,24.8,0.752,0.35316413576155786,90
TNFRSF21,O75509,24,479.7,7,0.008715,LYS,0.453781512223713,0.023,0.0303463545785228,0.5167506670619626,0.3456417113816308,42,44.9,0.5509999999999999,0.35221510241734705,91
MFSD11,O43934,18,1999.9,14,0.008363,LYS,0.2857142854741897,0.003,0.1265158943539459,0.4958790394307737,0.3010041943250917,137,10.5,0.895,0.3514245280798436,92
TRPV4,Q9HBA0,43,1486.3,16,0.007943,LYS,0.3949579828613799,0.016,0.0940249881385418,0.470975392825378,0.3274833074337279,57,33.3,0.667,0.35088663864938996,93
NOX4,Q9NPH5,35,2442.8,22,0.00613,LYS,0.352941176173999,0.011,0.1545342400759133,0.3634746516454195,0.2965791379859994,154,11.1,0.889,0.3496583465950285,94
FRRS1,Q6ZNA5,20,1045.0,11,0.008743,LYS,0.3109243694866181,0.006,0.0661078601929463,0.518410910168989,0.2997253789032278,146,8.8,0.912,0.34945861492044744,95
MEP1A,Q16819,27,2246.7,16,0.007881,LYS,0.302521008149142,0.005,0.1421287363593231,0.4672991402312481,0.3038367662368282,126,16.2,0.838,0.3491457588178086,96
NPC1,O15118,52,4327.9,37,0.005954,LYS,0.252100840124285,-0.001,0.27378775897517,0.353038837829825,0.2888883150912125,187,9.5,0.905,0.34913133119350703,97
ROS1,P08922,94,3827.7,45,0.007802,LYS,0.2605042014617612,0.0,0.2421445516368812,0.4626148828935665,0.3156295109438388,94,31.2,0.688,0.3482735567260724,98
DUOX1,Q9NRD9,76,2696.7,21,0.007818,LYS,0.2689075627992374,0.001,0.1705962359639411,0.4635635932404388,0.2978109738810089,150,13.3,0.867,0.3478874160790251,99
SLCO6A1,Q86UG4,39,2438.7,25,0.009361,LYS,0.2605042014617612,0.0,0.1542748695239601,0.5550548473169284,0.317000595636971,88,28.4,0.716,0.3478226431980366,100
TMEM63C,Q9P1W3,44,2117.1,14,0.008799,LYS,0.3109243694866181,0.006,0.1339300964731931,0.5217313963830418,0.3210681956515177,75,31.9,0.681,0.34753540735803473,101
SLC6A14,Q9UN76,20,559.1,12,0.002799,LYS,0.5798319322858556,0.038,0.0353692867309821,0.165965016305959,0.2923330638254246,172,8.1,0.919,0.3469432163958338,102
PTPRC,P08575,45,2486.8,24,0.007572,LYS,0.3277310921615705,0.008,0.1573177289261426,0.4489771716572783,0.3129809070396545,102,28.0,0.72,0.346145493848712,103
ICAM3,P32942,6,21.0,3,0.00848,LYS,0.3781512601864275,0.014,0.0013284833148821,0.5028164838422768,0.3025039942217187,131,13.2,0.868,0.34525560702028346,104
SLITRK5,O94991,22,5402.1,35,0.006746,LYS,0.252100840124285,-0.001,0.341742843586905,0.3999999999999999,0.3233631891257855,70,45.9,0.541,0.3448581471195712,105
TMEM37,Q8WXS4,6,239.6,3,0.008552,LYS,0.3613445375114751,0.012,0.0151573620117033,0.5070856804032019,0.3012107277290616,136,13.2,0.868,0.34458921683332777,106
TECTA,O75443,112,2135.0,16,0.009286,LYS,0.252100840124285,-0.001,0.1350624703463545,0.550607767565965,0.3065414074234098,118,21.9,0.781,0.34450597703889735,107
ADCY3,O60266,50,4686.9,38,0.007549,LYS,0.1932773107619518,-0.008,0.2964984975486319,0.4476134005336495,0.3005444937294651,141,24.4,0.756,0.3440999581646851,108
ADAM8,P78325,45,2289.2,28,0.00797,LYS,0.3277310921615705,0.008,0.1448173335442037,0.4725763415357248,0.3163105393886067,89,32.3,0.677,0.34399516770374194,109
SLC6A11,P48066,20,1571.8,18,0.007578,LYS,0.3277310921615705,0.008,0.0994338130634192,0.4493329380373554,0.2957224621948606,159,13.9,0.861,0.3429692606849143,110
CHRNA5,P30532,26,343.0,3,0.007666,LYS,0.403361344198856,0.017,0.0216985608097422,0.4545508449451526,0.3042193594060108,125,18.4,0.8160000000000001,0.34292374994881036,111
IL2RG,P31785,10,67.6,4,0.008201,LYS,0.453781512223713,0.023,0.0042764510517159,0.4862733471686925,0.3286775443556077,54,38.8,0.6120000000000001,0.34287480138598747,112
SLC2A2,P11168,19,2483.7,14,0.00786,LYS,0.2605042014617612,0.0,0.1571216194844219,0.4660539579009783,0.2911543538003245,177,12.4,0.876,0.34242644583218756,113
SLC9A2,Q9UBY0,39,2359.3,13,0.00776,LYS,0.3613445375114751,0.012,0.1492519373715009,0.4601245182330269,0.3273507516859484,58,44.1,0.5589999999999999,0.3421772988987233,114
P2RY13,Q9BPV8,15,1311.2,23,0.008116,LYS,0.3361344534990467,0.009,0.0829479677368337,0.4812333234509338,0.3037081687559489,127,20.9,0.791,0.3419397799084499,115
PROKR2,Q8NFJ6,18,2766.8,23,0.00824,LYS,0.2605042014617612,0.0,0.1750308397912383,0.4885858286391936,0.303286681113834,129,24.0,0.76,0.3418321796087863,116
ADAM28,Q9UKQ2,30,2613.8,29,0.00713,LYS,0.3277310921615705,0.008,0.1653518899256682,0.4227690483249333,0.3075287183398086,117,28.5,0.7150000000000001,0.34150371131548346,117
NALCN,Q8IZF0,86,4515.3,29,0.006714,LYS,0.2352941174493327,-0.003,0.2856428910327376,0.3981025793062555,0.299241288081431,147,26.4,0.736,0.3411714532436516,118
SLC16A1,P53985,8,2173.4,12,0.006435,LYS,0.352941176173999,0.011,0.1374916969792819,0.3815594426326711,0.2968918123531855,153,19.6,0.804,0.340566781412852,119
PTGFRN,Q9P2B2,22,443.9,7,0.00793,LYS,0.3697478988489514,0.013,0.0280816068321999,0.4702045656685442,0.2973850112898037,152,15.0,0.85,0.34038738806392904,120
SLAMF7,Q9NQ25,6,97.3,2,0.006019,LYS,0.5126050415860463,0.03,0.0061553060256207,0.3568929736139934,0.3139565005263027,97,30.4,0.696,0.3400815997663007,121
CCR1,P32246,18,321.0,6,0.007752,LYS,0.3865546215239037,0.015,0.0203068163846275,0.4596501630595908,0.298608942442827,149,16.9,0.831,0.33939870321365223,122
CD2,P06729,8,30.2,4,0.007153,LYS,0.4873949575736176,0.027,0.001910485529021,0.424132819448562,0.3227709745227219,73,37.9,0.621,0.33929458567161297,123
RET,P07949,47,3873.8,29,0.00634,LYS,0.2689075627992374,0.001,0.2450608888185987,0.3759264749481174,0.2938592342497098,166,22.7,0.773,0.338917532362342,124
UGT8,Q16880,22,1885.2,17,0.004601,LYS,0.4117647055363322,0.018,0.1192598450102799,0.2728135191224429,0.2823278914543497,225,9.4,0.906,0.338698980221411,125
SLC12A5,Q9H2X9,61,887.3,9,0.006507,LYS,0.4201680668738084,0.019,0.0561315831092835,0.3858286391935961,0.3006552934403873,139,21.9,0.781,0.338455458137017,126
CLDN7,O95471,5,71.7,4,0.001844,LYS,0.6554621843231411,0.047,0.0045358216036691,0.1093388674770234,0.2963472804534642,156,19.9,0.801,0.338207227863456,127
TMPRSS13,Q9BYE2,22,422.9,6,0.006908,LYS,0.4705882348986654,0.025,0.0267531235173177,0.4096056922620812,0.3191429386932858,79,37.2,0.6279999999999999,0.33793324233524846,128
PTPRK,Q15262,60,1384.5,14,0.007326,LYS,0.3361344534990467,0.009,0.0875850071168749,0.434390750074118,0.2910465085569165,178,15.1,0.849,0.33742024837825835,129
SCARB2,Q14108,14,2123.3,18,0.006285,LYS,0.3109243694866181,0.006,0.1343223153566345,0.3726652831307441,0.2764660273408608,276,5.0,0.95,0.3372865447099927,130
ABCC1,P33527,98,3305.0,23,0.005625,LYS,0.2941176468116659,0.004,0.2090779693183615,0.333530981322265,0.2804297439168543,244,11.8,0.882,0.33724731251015777,131
SORCS1,Q8WY21,45,6198.8,41,0.004881,LYS,0.201680672099428,-0.007,0.3921429701091254,0.2894159501927068,0.2851399449303208,210,23.6,0.764,0.3369851138157141,132
LCT,P09848,94,2181.1,25,0.007964,LYS,0.2605042014617612,0.0,0.1379788075280721,0.4722205751556478,0.2872614953898204,196,13.8,0.862,0.33682525655895,133
SLC2A9,Q9NRM0,19,2085.4,16,0.007108,LYS,0.302521008149142,0.005,0.1319247192788233,0.4214645715979839,0.287025190522699,200,14.1,0.859,0.3367259115353427,134
ANO9,A1A5B4,41,1807.9,9,0.004852,LYS,0.4201680668738084,0.019,0.1143697611893088,0.2876964126890008,0.2886870789130163,188,16.6,0.834,0.3366938549348758,135
CD5,P06127,15,225.3,3,0.009338,LYS,0.3697478988489514,0.013,0.0142527281353787,0.5536910761932997,0.3182823008381841,83,35.8,0.642,0.3363103520860715,136
GJB6,O95452,7,1717.2,15,0.007809,LYS,0.302521008149142,0.005,0.1086319784912225,0.4630299436703231,0.2925069799081204,171,18.0,0.8200000000000001,0.33622943231714725,137
OR13J1,Q8NGT2,17,1301.5,17,0.009263,LYS,0.2605042014617612,-0.0,0.0823343349675786,0.5492439964423361,0.2936751800076789,167,17.0,0.83,0.336187770112474,138
SEZ6L2,Q6UXD5,27,1292.3,8,0.002587,LYS,0.5882352936233318,0.039,0.0817523327534398,0.1533946042099021,0.3058381985383353,122,33.0,0.6699999999999999,0.3357567036466736,139
LAMP2,P13473,8,355.8,10,0.008068,LYS,0.3613445375114751,0.012,0.022508303020718,0.4783871924103172,0.2948064636339006,162,17.1,0.829,0.33571987713781104,140
DAGLA,Q9Y4D2,44,3135.5,27,0.009052,LYS,0.2605042014617612,-0.0,0.1983552111339554,0.5367328787429587,0.3247281075477787,67,49.5,0.505,0.3353662535375427,141
ERBB3,P21860,47,1646.1,11,0.005354,LYS,0.453781512223713,0.023,0.1041341135536928,0.3174621998221168,0.3079914989022281,116,34.1,0.659,0.3353293132999366,142
ITGB8,P26012,25,925.7,12,0.008098,LYS,0.352941176173999,0.011,0.0585608097422109,0.4801660243107025,0.3027945206854736,130,25.9,0.741,0.33523916066123854,143
SLC12A8,A0AV02,35,588.3,10,0.00637,LYS,0.4873949575736176,0.027,0.0372165111497706,0.3777053068485028,0.319434528428929,77,41.6,0.584,0.33457951520782303,144
APLP2,Q06481,27,2584.1,18,0.007964,LYS,0.3109243694866181,0.006,0.1634730349517634,0.4722205751556478,0.3150778308268706,95,41.9,0.581,0.3340205835947573,145
OR11G2,Q8NGC1,14,1371.1,16,0.008977,LYS,0.2605042014617612,0.0,0.0867373082397596,0.5322857989919952,0.2899086127542309,182,16.5,0.835,0.33376911273154314,146
RHBDL2,Q9NX52,15,671.7,9,0.006761,LYS,0.3865546215239037,0.015,0.0424924877431599,0.4008894159501927,0.2876364197175672,195,14.9,0.851,0.33336421784386244,147
TYRO3,Q06418,19,2463.2,21,0.00884,LYS,0.2436974787868088,-0.002,0.155824766724656,0.5241624666469018,0.3014751615261909,135,29.8,0.702,0.3332821642545053,148
OR2S2,Q9NQN1,17,1211.4,13,0.00931,LYS,0.2605042014617612,0.0,0.0766345089356318,0.5520308330862733,0.292801283191276,169,19.4,0.806,0.33277453146387426,149
OR6C65,A6NJZ3,14,1597.4,11,0.007895,LYS,0.2605042014617612,0.0,0.1010532974853708,0.4681292617847613,0.2749564483657441,289,5.8,0.942,0.332724775203418,150
SLC22A8,Q8TCC7,24,2527.2,16,0.007054,LYS,0.2605042014617612,0.0,0.159873477779535,0.4182626741772902,0.277642526171752,260,11.3,0.887,0.33240418238979946,151
