gene,confidence_tier,source_surfy,source_go,uniprot_id,description,length
MUC22,Tier2_SURFY_only,True,False,E2RYF6,Mucin-22,1773
OR4A47,Tier2_SURFY_only,True,False,Q6IF82,Olfactory receptor 4A47,309
FAM171A2,Tier2_SURFY_only,True,False,A8MVW0,Protein FAM171A2,826
CXCR5,Tier2_SURFY_only,True,False,P32302,C-X-C chemokine receptor type 5,372
CFC1,Tier2_SURFY_only,True,False,P0CG37,Cryptic protein,223
IL10RB,Tier2_SURFY_only,True,False,Q08334,Interleukin-10 receptor subunit beta,325
SLCO1B1,Tier2_SURFY_only,True,False,Q9Y6L6,Solute carrier organic anion transporter family member 1B1,691
GABRD,Tier2_SURFY_only,True,False,O14764,Gamma-aminobutyric acid receptor subunit delta,452
CD55,Tier2_SURFY_only,True,False,P08174,Complement decay-accelerating factor,381
PCDHGA10,Tier2_SURFY_only,True,False,Q9Y5H3,Protocadherin gamma-A10,936
GFRA2,Tier2_SURFY_only,True,False,O00451,GDNF family receptor alpha-2,464
MLNR,Tier2_SURFY_only,True,False,O43193,Motilin receptor,412
NRXN2,Tier2_SURFY_only,True,False,P58401,Neurexin-2-beta,666
ICOS,Tier2_SURFY_only,True,False,Q9Y6W8,Inducible T-cell costimulator,199
SLC38A9,Tier2_SURFY_only,True,False,Q8NBW4,Putative sodium-coupled neutral amino acid transporter 9,561
OR5M1,Tier2_SURFY_only,True,False,Q8NGP8,Olfactory receptor 5M1,315
SLC2A4,Tier2_SURFY_only,True,False,P14672,"Solute carrier family 2, facilitated glucose transporter member 4",509
PCDHA5,Tier2_SURFY_only,True,False,Q9Y5H7,Protocadherin alpha-5,936
GRIN2B,Tier2_SURFY_only,True,False,Q13224,"Glutamate receptor ionotropic, NMDA 2B",1484
TNFRSF9,Tier2_SURFY_only,True,False,Q07011,Tumor necrosis factor receptor superfamily member 9,255
UGT8,Tier2_SURFY_only,True,False,Q16880,2-hydroxyacylsphingosine 1-beta-galactosyltransferase,541
GPR56,Tier2_SURFY_only,True,False,Q9Y653,G-protein coupled receptor 56,693
FAM171B,Tier2_SURFY_only,True,False,Q6P995,Protein FAM171B,826
TNFRSF4,Tier2_SURFY_only,True,False,P43489,Tumor necrosis factor receptor superfamily member 4,277
SEZ6L2,Tier2_SURFY_only,True,False,Q6UXD5,Seizure 6-like protein 2,910
ITGAE,Tier2_SURFY_only,True,False,P38570,Integrin alpha-E,1179
PCDHB15,Tier2_SURFY_only,True,False,Q9Y5E8,Protocadherin beta-15,787
KIR2DL4,Tier2_SURFY_only,True,False,Q99706,Killer cell immunoglobulin-like receptor 2DL4,377
CHRNA7,Tier2_SURFY_only,True,False,P36544,Neuronal acetylcholine receptor subunit alpha-7,502
OR2M4,Tier2_SURFY_only,True,False,Q96R27,Olfactory receptor 2M4,311
SERINC1,Tier2_SURFY_only,True,False,Q9NRX5,Serine incorporator 1,453
PCDHB5,Tier2_SURFY_only,True,False,Q9Y5E4,Protocadherin beta-5,795
UNC5C,Tier2_SURFY_only,True,False,O95185,Netrin receptor UNC5C,931
HLA-DOB,Tier2_SURFY_only,True,False,P13765,"HLA class II histocompatibility antigen, DO beta chain",273
NPFFR2,Tier2_SURFY_only,True,False,Q9Y5X5,Neuropeptide FF receptor 2,522
ICAM5,Tier2_SURFY_only,True,False,Q9UMF0,Intercellular adhesion molecule 5,924
PLET1,Tier2_SURFY_only,True,False,Q6UQ28,Placenta-expressed transcript 1 protein,207
GPA33,Tier2_SURFY_only,True,False,Q99795,Cell surface A33 antigen,319
SLC10A6,Tier2_SURFY_only,True,False,Q3KNW5,Solute carrier family 10 member 6,377
EMP1,Tier2_SURFY_only,True,False,P54849,Epithelial membrane protein 1,157
CD84,Tier2_SURFY_only,True,False,Q9UIB8,SLAM family member 5,345
SEMA4B,Tier2_SURFY_only,True,False,Q9NPR2,Semaphorin-4B,832
QSOX1,Tier2_SURFY_only,True,False,O00391,Sulfhydryl oxidase 1,747
SLC22A15,Tier2_SURFY_only,True,False,Q8IZD6,Solute carrier family 22 member 15,547
MFRP,Tier2_SURFY_only,True,False,Q9BY79,Membrane frizzled-related protein,579
BSG,Tier2_SURFY_only,True,False,P35613,Basigin,385
OR8H2,Tier2_SURFY_only,True,False,Q8N162,Olfactory receptor 8H2,312
SUCNR1,Tier2_SURFY_only,True,False,Q9BXA5,Succinate receptor 1,334
ELTD1,Tier2_SURFY_only,True,False,Q9HBW9,"EGF, latrophilin and seven transmembrane domain-containing protein 1",690
TLR8,Tier2_SURFY_only,True,False,Q9NR97,Toll-like receptor 8,1041
RAMP3,Tier2_SURFY_only,True,False,O60896,Receptor activity-modifying protein 3,148
EBP,Tier2_SURFY_only,True,False,Q15125,"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase",230
GPR115,Tier2_SURFY_only,True,False,Q8IZF3,Probable G-protein coupled receptor 115,695
MRGPRG,Tier2_SURFY_only,True,False,Q86SM5,Mas-related G-protein coupled receptor member G,289
ATP1A3,Tier2_SURFY_only,True,False,P13637,Sodium/potassium-transporting ATPase subunit alpha-3,1013
GGT3P,Tier2_SURFY_only,True,False,A6NGU5,Putative gamma-glutamyltranspeptidase 3,568
PTAFR,Tier2_SURFY_only,True,False,P25105,Platelet-activating factor receptor,342
IL7R,Tier2_SURFY_only,True,False,P16871,Interleukin-7 receptor subunit alpha,459
TMEM110,Tier2_SURFY_only,True,False,Q86TL2,Transmembrane protein 110,294
SLAMF6,Tier2_SURFY_only,True,False,Q96DU3,SLAM family member 6,332
MEGF8,Tier2_SURFY_only,True,False,Q7Z7M0,Multiple epidermal growth factor-like domains protein 8,2845
CR2,Tier2_SURFY_only,True,False,P20023,Complement receptor type 2,1033
HLA-DMB,Tier2_SURFY_only,True,False,P28068,"HLA class II histocompatibility antigen, DM beta chain",263
SLC15A3,Tier2_SURFY_only,True,False,Q8IY34,Solute carrier family 15 member 3,581
MFSD5,Tier2_SURFY_only,True,False,Q6N075,Molybdate-anion transporter,450
CNTNAP1,Tier2_SURFY_only,True,False,P78357,Contactin-associated protein 1,1384
FCER1A,Tier2_SURFY_only,True,False,P12319,High affinity immunoglobulin epsilon receptor subunit alpha,257
SLC37A4,Tier2_SURFY_only,True,False,O43826,Glucose-6-phosphate translocase,429
LILRB2,Tier2_SURFY_only,True,False,Q8N423,Leukocyte immunoglobulin-like receptor subfamily B member 2,598
DAGLB,Tier2_SURFY_only,True,False,Q8NCG7,Sn1-specific diacylglycerol lipase beta,672
OR6K6,Tier2_SURFY_only,True,False,Q8NGW6,Olfactory receptor 6K6,343
MEP1B,Tier2_SURFY_only,True,False,Q16820,Meprin A subunit beta,701
OR10G7,Tier2_SURFY_only,True,False,Q8NGN6,Olfactory receptor 10G7,311
TMEM95,Tier2_SURFY_only,True,False,Q3KNT9,Transmembrane protein 95,176
SLC40A1,Tier2_SURFY_only,True,False,Q9NP59,Solute carrier family 40 member 1,571
PCDH19,Tier2_SURFY_only,True,False,Q8TAB3,Protocadherin-19,1148
MUC12,Tier2_SURFY_only,True,False,Q9UKN1,Mucin-12,5478
ASIC4,Tier2_SURFY_only,True,False,Q96FT7,Acid-sensing ion channel 4,647
OR5AL1,Tier2_SURFY_only,True,False,P0C617,Olfactory receptor 5AL1,328
VTCN1,Tier2_SURFY_only,True,False,Q7Z7D3,V-set domain-containing T-cell activation inhibitor 1,282
UMOD,Tier2_SURFY_only,True,False,P07911,Uromodulin,640
PTPRM,Tier2_SURFY_only,True,False,P28827,Receptor-type tyrosine-protein phosphatase mu,1452
CD200,Tier2_SURFY_only,True,False,P41217,OX-2 membrane glycoprotein,278
C14orf132,Tier2_SURFY_only,True,False,Q9NPU4,Putative uncharacterized protein C14orf132,173
MST1R,Tier2_SURFY_only,True,False,Q04912,Macrophage-stimulating protein receptor,1400
FCGR3B,Tier2_SURFY_only,True,False,O75015,Low affinity immunoglobulin gamma Fc region receptor III-B,233
CLEC9A,Tier2_SURFY_only,True,False,Q6UXN8,C-type lectin domain family 9 member A,241
UPK3B,Tier2_SURFY_only,True,False,Q9BT76,Uroplakin-3b,320
CD46,Tier2_SURFY_only,True,False,P15529,Membrane cofactor protein,392
AMHR2,Tier2_SURFY_only,True,False,Q16671,Anti-Muellerian hormone type-2 receptor,573
NCR3LG1,Tier2_SURFY_only,True,False,Q68D85,Natural cytotoxicity triggering receptor 3 ligand 1,454
PCDH11X,Tier2_SURFY_only,True,False,Q9BZA7,Protocadherin-11 X-linked,1347
GPC2,Tier2_SURFY_only,True,False,Q8N158,Glypican-2,579
TPBG,Tier2_SURFY_only,True,False,Q13641,Trophoblast glycoprotein,420
SLITRK4,Tier2_SURFY_only,True,False,Q8IW52,SLIT and NTRK-like protein 4,837
ITGB4,Tier2_SURFY_only,True,False,P16144,Integrin beta-4,1822
DSC3,Tier2_SURFY_only,True,False,Q14574,Desmocollin-3,896
SLAMF9,Tier2_SURFY_only,True,False,Q96A28,SLAM family member 9,289
ITM2C,Tier2_SURFY_only,True,False,Q9NQX7,Integral membrane protein 2C,267
CLEC12B,Tier2_SURFY_only,True,False,Q2HXU8,C-type lectin domain family 12 member B,276
NTSR1,Tier2_SURFY_only,True,False,P30989,Neurotensin receptor type 1,418
GPR107,Tier2_SURFY_only,True,False,Q5VW38,Protein GPR107,600
ENPP6,Tier2_SURFY_only,True,False,Q6UWR7,Ectonucleotide pyrophosphatase/phosphodiesterase family member 6,440
PKD1L3,Tier2_SURFY_only,True,False,Q7Z443,Polycystic kidney disease protein 1-like 3,1732
PCSK5,Tier2_SURFY_only,True,False,Q92824,Proprotein convertase subtilisin/kexin type 5,1860
SLC5A10,Tier2_SURFY_only,True,False,A0PJK1,Sodium/glucose cotransporter 5,596
SLC26A6,Tier2_SURFY_only,True,False,Q9BXS9,Solute carrier family 26 member 6,759
TAS2R14,Tier2_SURFY_only,True,False,Q9NYV8,Taste receptor type 2 member 14,317
OR4D9,Tier2_SURFY_only,True,False,Q8NGE8,Olfactory receptor 4D9,314
TLR1,Tier2_SURFY_only,True,False,Q15399,Toll-like receptor 1,786
ECE1,Tier2_SURFY_only,True,False,P42892,Endothelin-converting enzyme 1,770
GRIA2,Tier2_SURFY_only,True,False,P42262,Glutamate receptor 2,883
TMEM9B,Tier2_SURFY_only,True,False,Q9NQ34,Transmembrane protein 9B,198
LRIT2,Tier2_SURFY_only,True,False,A6NDA9,"Leucine-rich repeat, immunoglobulin-like domain and transmembrane domain-containing protein 2",550
PRSS8,Tier2_SURFY_only,True,False,Q16651,Prostasin,343
SLITRK1,Tier2_SURFY_only,True,False,Q96PX8,SLIT and NTRK-like protein 1,696
GFRA1,Tier2_SURFY_only,True,False,P56159,GDNF family receptor alpha-1,465
ITGAX,Tier2_SURFY_only,True,False,P20702,Integrin alpha-X,1163
SHISA4,Tier2_SURFY_only,True,False,Q96DD7,Protein shisa-4,197
TPSG1,Tier2_SURFY_only,True,False,Q9NRR2,Tryptase gamma,321
P2RY13,Tier2_SURFY_only,True,False,Q9BPV8,P2Y purinoceptor 13,354
PTPRU,Tier2_SURFY_only,True,False,Q92729,Receptor-type tyrosine-protein phosphatase U,1446
S1PR2,Tier2_SURFY_only,True,False,O95136,Sphingosine 1-phosphate receptor 2,353
PTGFRN,Tier2_SURFY_only,True,False,Q9P2B2,Prostaglandin F2 receptor negative regulator,879
ATP1B4,Tier2_SURFY_only,True,False,Q9UN42,Protein ATP1B4,357
ASGR2,Tier2_SURFY_only,True,False,P07307,Asialoglycoprotein receptor 2,311
TACR2,Tier2_SURFY_only,True,False,P21452,Substance-K receptor,398
OR6J1,Tier2_SURFY_only,True,False,Q8NGC5,Olfactory receptor 6J1,347
PCDHB14,Tier2_SURFY_only,True,False,Q9Y5E9,Protocadherin beta-14,798
SLC7A1,Tier2_SURFY_only,True,False,P30825,High affinity cationic amino acid transporter 1,629
TM4SF4,Tier2_SURFY_only,True,False,P48230,Transmembrane 4 L6 family member 4,202
TSPAN17,Tier2_SURFY_only,True,False,Q96FV3,Tetraspanin-17,270
FAM187B,Tier2_SURFY_only,True,False,Q17R55,Protein FAM187B,369
SLC2A14,Tier2_SURFY_only,True,False,Q8TDB8,"Solute carrier family 2, facilitated glucose transporter member 14",520
NPHS1,Tier2_SURFY_only,True,False,O60500,Nephrin,1241
CRB2,Tier2_SURFY_only,True,False,Q5IJ48,Protein crumbs homolog 2,1285
OR5M9,Tier2_SURFY_only,True,False,Q8NGP3,Olfactory receptor 5M9,310
TREM2,Tier2_SURFY_only,True,False,Q9NZC2,Triggering receptor expressed on myeloid cells 2,230
OR2B8P,Tier2_SURFY_only,True,False,P59922,Putative olfactory receptor 2B8,312
ADCY5,Tier2_SURFY_only,True,False,O95622,Adenylate cyclase type 5,1261
HLA-DQA2,Tier2_SURFY_only,True,False,P01906,"HLA class II histocompatibility antigen, DQ alpha 2 chain",255
HLA-DRB5,Tier2_SURFY_only,True,False,Q30154,"HLA class II histocompatibility antigen, DR beta 5 chain",266
OR13C6P,Tier2_SURFY_only,True,False,Q8NH95,Putative olfactory receptor 13C6,151
TLR4,Tier2_SURFY_only,True,False,O00206,Toll-like receptor 4,839
GDPD5,Tier2_SURFY_only,True,False,Q8WTR4,Glycerophosphodiester phosphodiesterase domain-containing protein 5,605
GLRA1,Tier2_SURFY_only,True,False,P23415,Glycine receptor subunit alpha-1,457
P2RX3,Tier2_SURFY_only,True,False,P56373,P2X purinoceptor 3,397
TMC7,Tier2_SURFY_only,True,False,Q7Z402,Transmembrane channel-like protein 7,723
FZD4,Tier2_SURFY_only,True,False,Q9ULV1,Frizzled-4,537
SGCD,Tier2_SURFY_only,True,False,Q92629,Delta-sarcoglycan,289
PTPRC,Tier2_SURFY_only,True,False,P08575,Receptor-type tyrosine-protein phosphatase C,1304
PSEN2,Tier2_SURFY_only,True,False,P49810,Presenilin-2,448
OR56A5,Tier2_SURFY_only,True,False,P0C7T3,Olfactory receptor 56A5,313
CD40,Tier2_SURFY_only,True,False,P25942,Tumor necrosis factor receptor superfamily member 5,277
CD5,Tier2_SURFY_only,True,False,P06127,T-cell surface glycoprotein CD5,495
ALPI,Tier2_SURFY_only,True,False,P09923,Intestinal-type alkaline phosphatase,528
OR2B11,Tier2_SURFY_only,True,False,Q5JQS5,Olfactory receptor 2B11,317
BTC,Tier2_SURFY_only,True,False,P35070,Probetacellulin,178
PTGFR,Tier2_SURFY_only,True,False,P43088,Prostaglandin F2-alpha receptor,359
ITGA6,Tier2_SURFY_only,True,False,P23229,Integrin alpha-6,1130
CDH1,Tier2_SURFY_only,True,False,P12830,Cadherin-1,882
SLC34A2,Tier2_SURFY_only,True,False,O95436,Sodium-dependent phosphate transport protein 2B,690
LAMP2,Tier2_SURFY_only,True,False,P13473,Lysosome-associated membrane glycoprotein 2,410
ADAM20,Tier2_SURFY_only,True,False,O43506,Disintegrin and metalloproteinase domain-containing protein 20,726
TMEFF2,Tier2_SURFY_only,True,False,Q9UIK5,Tomoregulin-2,374
MOG,Tier2_SURFY_only,True,False,Q16653,Myelin-oligodendrocyte glycoprotein,247
OR4S1,Tier2_SURFY_only,True,False,Q8NGB4,Olfactory receptor 4S1,309
SLC5A11,Tier2_SURFY_only,True,False,Q8WWX8,Sodium/myo-inositol cotransporter 2,675
PCDH10,Tier2_SURFY_only,True,False,Q9P2E7,Protocadherin-10,1040
TACR1,Tier2_SURFY_only,True,False,P25103,Substance-P receptor,407
PODXL,Tier2_SURFY_only,True,False,O00592,Podocalyxin,558
OR6B3,Tier2_SURFY_only,True,False,Q8NGW1,Olfactory receptor 6B3,331
HIDE1,Tier2_SURFY_only,True,False,A8MVS5,Protein HIDE1,230
IL1RL2,Tier2_SURFY_only,True,False,Q9HB29,Interleukin-1 receptor-like 2,575
TLR7,Tier2_SURFY_only,True,False,Q9NYK1,Toll-like receptor 7,1049
NAGPA,Tier2_SURFY_only,True,False,Q9UK23,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,515
FZD1,Tier2_SURFY_only,True,False,Q9UP38,Frizzled-1,647
KCNG4,Tier2_SURFY_only,True,False,Q8TDN1,Potassium voltage-gated channel subfamily G member 4,519
TREML2,Tier2_SURFY_only,True,False,Q5T2D2,Trem-like transcript 2 protein,321
NPR2,Tier2_SURFY_only,True,False,P20594,Atrial natriuretic peptide receptor 2,1047
CSMD2,Tier2_SURFY_only,True,False,Q7Z408,CUB and sushi domain-containing protein 2,3487
NRN1,Tier2_SURFY_only,True,False,Q9NPD7,Neuritin,142
GGT7,Tier2_SURFY_only,True,False,Q9UJ14,Gamma-glutamyltransferase 7,662
SLC43A2,Tier2_SURFY_only,True,False,Q8N370,Large neutral amino acids transporter small subunit 4,569
GPR26,Tier2_SURFY_only,True,False,Q8NDV2,G-protein coupled receptor 26,337
HTR2C,Tier2_SURFY_only,True,False,P28335,5-hydroxytryptamine receptor 2C,458
IGF1R,Tier2_SURFY_only,True,False,P08069,Insulin-like growth factor 1 receptor,1367
PGAP1,Tier2_SURFY_only,True,False,Q75T13,GPI inositol-deacylase,922
SLC23A2,Tier2_SURFY_only,True,False,Q9UGH3,Solute carrier family 23 member 2,650
LRRN4CL,Tier2_SURFY_only,True,False,Q8ND94,LRRN4 C-terminal-like protein,238
NMUR2,Tier2_SURFY_only,True,False,Q9GZQ4,Neuromedin-U receptor 2,415
STAB1,Tier2_SURFY_only,True,False,Q9NY15,Stabilin-1,2570
NUP210L,Tier2_SURFY_only,True,False,Q5VU65,Nuclear pore membrane glycoprotein 210-like,1888
NRP1,Tier2_SURFY_only,True,False,O14786,Neuropilin-1,923
PCDHGA12,Tier2_SURFY_only,True,False,O60330,Protocadherin gamma-A12,932
OR4E1,Tier2_SURFY_only,True,False,P0C645,Olfactory receptor 4E1,316
ACKR3,Tier2_SURFY_only,True,False,P25106,Atypical chemokine receptor 3,362
PRIMA1,Tier2_SURFY_only,True,False,Q86XR5,Proline-rich membrane anchor 1,153
RNF43,Tier2_SURFY_only,True,False,Q68DV7,E3 ubiquitin-protein ligase RNF43,783
CDH23,Tier2_SURFY_only,True,False,Q9H251,Cadherin-23,3354
DISP1,Tier2_SURFY_only,True,False,Q96F81,Protein dispatched homolog 1,1524
CNNM3,Tier2_SURFY_only,True,False,Q8NE01,Metal transporter CNNM3,707
SLC6A14,Tier2_SURFY_only,True,False,Q9UN76,Sodium- and chloride-dependent neutral and basic amino acid transporter B(0+),642
PROCR,Tier2_SURFY_only,True,False,Q9UNN8,Endothelial protein C receptor,238
OR10J6P,Tier2_SURFY_only,True,False,Q8NGY7,Putative olfactory receptor 10J6,276
OR5A1,Tier2_SURFY_only,True,False,Q8NGJ0,Olfactory receptor 5A1,315
GPR65,Tier2_SURFY_only,True,False,Q8IYL9,Psychosine receptor,337
TNFRSF11A,Tier2_SURFY_only,True,False,Q9Y6Q6,Tumor necrosis factor receptor superfamily member 11A,616
OR1S1,Tier2_SURFY_only,True,False,Q8NH92,Olfactory receptor 1S1,325
TNFRSF10C,Tier2_SURFY_only,True,False,O14798,Tumor necrosis factor receptor superfamily member 10C,259
OR2AG2,Tier2_SURFY_only,True,False,A6NM03,Olfactory receptor 2AG2,316
CSF2RB,Tier2_SURFY_only,True,False,P32927,Cytokine receptor common subunit beta,897
MEGF9,Tier2_SURFY_only,True,False,Q9H1U4,Multiple epidermal growth factor-like domains protein 9,602
MERTK,Tier2_SURFY_only,True,False,Q12866,Tyrosine-protein kinase Mer,999
RHCG,Tier2_SURFY_only,True,False,Q9UBD6,Ammonium transporter Rh type C,479
MFSD2A,Tier2_SURFY_only,True,False,Q8NA29,Sodium-dependent lysophosphatidylcholine symporter 1,543
TSPAN15,Tier2_SURFY_only,True,False,O95858,Tetraspanin-15,294
P2RY11,Tier2_SURFY_only,True,False,Q96G91,P2Y purinoceptor 11,374
SLC38A5,Tier2_SURFY_only,True,False,Q8WUX1,Sodium-coupled neutral amino acid transporter 5,472
EDNRB,Tier2_SURFY_only,True,False,P24530,Endothelin B receptor,442
SLC52A1,Tier2_SURFY_only,True,False,Q9NWF4,"Solute carrier family 52, riboflavin transporter, member 1",448
SLC12A9,Tier2_SURFY_only,True,False,Q9BXP2,Solute carrier family 12 member 9,914
OR8J3,Tier2_SURFY_only,True,False,Q8NGG0,Olfactory receptor 8J3,315
CD6,Tier2_SURFY_only,True,False,P30203,T-cell differentiation antigen CD6,668
RET,Tier2_SURFY_only,True,False,P07949,Proto-oncogene tyrosine-protein kinase receptor Ret,1114
SLC28A3,Tier2_SURFY_only,True,False,Q9HAS3,Solute carrier family 28 member 3,691
OR2V2,Tier2_SURFY_only,True,False,Q96R30,Olfactory receptor 2V2,315
KLRB1,Tier2_SURFY_only,True,False,Q12918,Killer cell lectin-like receptor subfamily B member 1,225
HTR1F,Tier2_SURFY_only,True,False,P30939,5-hydroxytryptamine receptor 1F,366
FAP,Tier2_SURFY_only,True,False,Q12884,Prolyl endopeptidase FAP,760
CUZD1,Tier2_SURFY_only,True,False,Q86UP6,CUB and zona pellucida-like domain-containing protein 1,607
ADCY2,Tier2_SURFY_only,True,False,Q08462,Adenylate cyclase type 2,1091
NOTCH4,Tier2_SURFY_only,True,False,Q99466,Neurogenic locus notch homolog protein 4,2003
NMUR1,Tier2_SURFY_only,True,False,Q9HB89,Neuromedin-U receptor 1,426
SEZ6,Tier2_SURFY_only,True,False,Q53EL9,Seizure protein 6 homolog,994
LY9,Tier2_SURFY_only,True,False,Q9HBG7,T-lymphocyte surface antigen Ly-9,655
SIGLEC5,Tier2_SURFY_only,True,False,O15389,Sialic acid-binding Ig-like lectin 5,551
ADRB1,Tier2_SURFY_only,True,False,P08588,Beta-1 adrenergic receptor,477
SLC39A12,Tier2_SURFY_only,True,False,Q504Y0,Zinc transporter ZIP12,691
LY6K,Tier2_SURFY_only,True,False,Q17RY6,Lymphocyte antigen 6K,165
PEAR1,Tier2_SURFY_only,True,False,Q5VY43,Platelet endothelial aggregation receptor 1,1037
RNF13,Tier2_SURFY_only,True,False,O43567,E3 ubiquitin-protein ligase RNF13,381
OR4F4,Tier2_SURFY_only,True,False,Q96R69,Olfactory receptor 4F4,305
SCNN1A,Tier2_SURFY_only,True,False,P37088,Amiloride-sensitive sodium channel subunit alpha,669
TIMD4,Tier2_SURFY_only,True,False,Q96H15,T-cell immunoglobulin and mucin domain-containing protein 4,378
LAMP3,Tier2_SURFY_only,True,False,Q9UQV4,Lysosome-associated membrane glycoprotein 3,416
LILRB5,Tier2_SURFY_only,True,False,O75023,Leukocyte immunoglobulin-like receptor subfamily B member 5,590
GJB7,Tier2_SURFY_only,True,False,Q6PEY0,Gap junction beta-7 protein,223
GPR61,Tier2_SURFY_only,True,False,Q9BZJ8,Probable G-protein coupled receptor 61,451
LPHN2,Tier2_SURFY_only,True,False,O95490,Latrophilin-2,1459
OR11H12,Tier2_SURFY_only,True,False,B2RN74,Olfactory receptor 11H12,326
GRIN2C,Tier2_SURFY_only,True,False,Q14957,"Glutamate receptor ionotropic, NMDA 2C",1233
ADRB3,Tier2_SURFY_only,True,False,P13945,Beta-3 adrenergic receptor,408
BMPR2,Tier2_SURFY_only,True,False,Q13873,Bone morphogenetic protein receptor type-2,1038
GLDN,Tier2_SURFY_only,True,False,Q6ZMI3,Gliomedin,551
PVRL2,Tier2_SURFY_only,True,False,Q92692,Nectin-2,538
OR8U1,Tier2_SURFY_only,True,False,Q8NH10,Olfactory receptor 8U1,309
IL1R2,Tier2_SURFY_only,True,False,P27930,Interleukin-1 receptor type 2,398
L1CAM,Tier2_SURFY_only,True,False,P32004,Neural cell adhesion molecule L1,1257
PLB1,Tier2_SURFY_only,True,False,Q6P1J6,"Phospholipase B1, membrane-associated",1458
OR4X2,Tier2_SURFY_only,True,False,Q8NGF9,Olfactory receptor 4X2,303
LRRC37B,Tier2_SURFY_only,True,False,Q96QE4,Leucine-rich repeat-containing protein 37B,947
ASIC1,Tier2_SURFY_only,True,False,P78348,Acid-sensing ion channel 1,528
SLC35F4,Tier2_SURFY_only,True,False,A4IF30,Solute carrier family 35 member F4,521
FZD8,Tier2_SURFY_only,True,False,Q9H461,Frizzled-8,694
PCDHA12,Tier2_SURFY_only,True,False,Q9UN75,Protocadherin alpha-12,941
DAGLA,Tier2_SURFY_only,True,False,Q9Y4D2,Sn1-specific diacylglycerol lipase alpha,1042
ADAM10,Tier2_SURFY_only,True,False,O14672,Disintegrin and metalloproteinase domain-containing protein 10,748
SLC26A1,Tier2_SURFY_only,True,False,Q9H2B4,Sulfate anion transporter 1,701
HRH2,Tier2_SURFY_only,True,False,P25021,Histamine H2 receptor,359
HTR5A,Tier2_SURFY_only,True,False,P47898,5-hydroxytryptamine receptor 5A,357
HTR2B,Tier2_SURFY_only,True,False,P41595,5-hydroxytryptamine receptor 2B,481
EFNA4,Tier2_SURFY_only,True,False,P52798,Ephrin-A4,201
BOC,Tier2_SURFY_only,True,False,Q9BWV1,Brother of CDO,1114
FLVCR1,Tier2_SURFY_only,True,False,Q9Y5Y0,Feline leukemia virus subgroup C receptor-related protein 1,555
