gene,enhanced_score_v2,rank_v2,tsi_norm,ldt_norm,pocket_norm,eas,ntrs,risk_level,top_res_type,n_nucleophiles,n_extracellular_domains,depmap_label,mean_plddt
GJB2,0.5087966969792087,42,0.6134453776357603,0.2576934479691669,0.0084833148821761,1.0,6.0,High,LYS,4,2.0,Non-essential,86.2
GPR143,0.5081961816869052,43,0.4369747895487607,0.4972428105544025,0.092019610944172,1.0,3.0,Low,LYS,9,4.0,Non-essential,73.5
CPD,0.5080928128247866,44,0.352941176173999,0.5218499851764008,0.0914376087300332,1.0,6.0,High,LYS,22,1.0,Non-essential,82.5
SLC22A9,0.5078985108236126,45,0.2605042014617612,0.4768455380966498,0.2180167641942116,1.0,,No HPA data,LYS,11,6.0,Non-essential,85.7
SLC22A14,0.5073394799226796,46,0.2605042014617612,0.4846723984583457,0.2483947493278507,1.0,,No HPA data,LYS,26,6.0,Non-essential,81.2
MST1R,0.5073006591408386,47,0.3781512601864275,0.3939519715386895,0.1968622489324687,1.0,6.0,High,LYS,14,1.0,Non-essential,80.1
DUOX2,0.5068047068777083,48,0.2689075627992374,0.4737029350726355,0.221186145816859,1.0,,No HPA data,LYS,22,3.0,Non-essential,84.0
NPC1L1,0.506717703906526,49,0.2436974787868088,0.4387192410317225,0.2787474300173968,1.0,4.5,High,LYS,36,7.0,Non-essential,84.2
FCGR1A,0.5061127575498114,50,0.4789915962361415,0.2712718648087756,0.0095524276451051,1.0,,No HPA data,LYS,4,1.0,Essential,85.1
EPHA10,0.5047466688343791,51,0.3613445375114751,0.415238659946635,0.1918140123359165,1.0,3.0,Low,LYS,18,1.0,Non-essential,79.2
ITGB4,0.5041875931446571,52,0.403361344198856,0.236703231544619,0.3970330539300964,1.0,4.0,High,LYS,38,1.0,Non-essential,68.4
ABCC11,0.5029284878277966,53,0.2773109241367135,0.3044174325526237,0.3780863514154673,1.0,,No HPA data,LYS,34,5.0,Non-essential,78.9
ATP1A3,0.502782644937205,54,0.2857142854741897,0.455973910465461,0.1487964573778269,1.0,0.0,Low,LYS,20,5.0,Non-essential,88.8
NETO2,0.5027390304749507,55,0.453781512223713,0.5557663800770827,0.0147018820180294,1.0,6.0,High,LYS,4,1.0,Non-essential,72.1
SGCZ,0.5017511145092146,56,0.2605042014617612,0.5146160687815,0.1805092519373715,1.0,0.0,Low,LYS,10,1.0,Non-essential,80.5
VTCN1,0.5015754828310199,57,0.6134453776357603,0.2214645715979839,0.0031061205124149,1.0,6.0,High,LYS,4,1.0,Non-essential,88.5
SLC22A11,0.5014448026359002,58,0.2941176468116659,0.4192113845241624,0.1898655701407559,1.0,9.0,High,LYS,12,6.0,Non-essential,87.6
PKDREJ,0.5011899622652012,59,0.2605042014617612,0.4901274829528609,0.2886920765459433,1.0,0.0,Low,LYS,33,6.0,Non-essential,70.7
PKD1L2,0.5005209152264938,60,0.2184873947743803,0.6050993181144382,0.2323960145500553,1.0,,No HPA data,LYS,31,7.0,Non-essential,71.0
CSF1R,0.5003414236724144,61,0.3109243694866181,0.406818855618144,0.2562328008856555,1.0,6.0,High,LYS,39,1.0,Non-essential,77.8
EGFR,0.4995900596459742,62,0.252100840124285,0.4565668544322561,0.2977573936422584,1.0,6.0,High,LYS,35,1.0,Non-essential,75.9
ABCA4,0.4991862149265499,63,0.2689075627992374,0.3792469611621701,0.3220496599715325,1.0,9.0,High,LYS,26,6.0,Non-essential,75.7
NRP2,0.4991051165536214,64,0.302521008149142,0.4852060480284612,0.1921682745532184,1.0,3.0,Low,LYS,19,1.0,Non-essential,78.6
OR52R1,0.4987796973811049,65,0.2605042014617612,0.6290542543729617,0.0692139807053613,1.0,,No HPA data,LYS,9,4.0,No data,85.3
CCR6,0.4980891056696754,66,0.3697478988489514,0.4751852949896235,0.0945753597975644,1.0,6.0,High,LYS,19,4.0,Non-essential,79.6
IGF1R,0.497630751466814,67,0.2857142854741897,0.5207826860361695,0.1592282144551637,1.0,9.0,High,LYS,16,1.0,Non-essential,78.0
ICAM3,0.4971668084780387,68,0.3781512601864275,0.5028164838422768,0.0013284833148821,1.0,6.0,High,LYS,3,1.0,Non-essential,87.1
MEP1A,0.4963158273553997,69,0.302521008149142,0.4672991402312481,0.1421287363593231,1.0,4.5,High,LYS,16,1.0,Non-essential,84.5
DUOX1,0.4957588565406853,70,0.2689075627992374,0.4635635932404388,0.1705962359639411,1.0,1.0,Low,LYS,21,4.0,Non-essential,85.6
NOX4,0.4957370723877664,71,0.352941176173999,0.3634746516454195,0.1545342400759133,1.0,,No HPA data,LYS,22,3.0,Non-essential,87.0
ANO1,0.4956857224014677,72,0.3193277308240944,0.4294100207530388,0.2038589277241815,1.0,6.0,High,LYS,23,4.0,Non-essential,76.6
SLCO6A1,0.493591993733618,73,0.2605042014617612,0.5550548473169284,0.1542748695239601,1.0,0.0,Low,LYS,25,6.0,Non-essential,76.7
TRPV4,0.493439571908129,74,0.3949579828613799,0.470975392825378,0.0940249881385418,1.0,3.0,Low,LYS,16,4.0,Non-essential,71.6
TNFRSF21,0.4929647823840253,75,0.453781512223713,0.5167506670619626,0.0303463545785228,1.0,6.0,High,LYS,7,1.0,Non-essential,68.0
SLC6A11,0.4927861232605475,76,0.3277310921615705,0.4493329380373554,0.0994338130634192,1.0,0.0,Low,LYS,18,1.0,Non-essential,86.6
CHRNA5,0.492690217200693,77,0.403361344198856,0.4545508449451526,0.0216985608097422,1.0,0.0,Low,LYS,3,2.0,Non-essential,81.2
GPR39,0.4926016908275613,78,0.4873949575736176,0.2814112066409724,0.1618535505298118,1.0,3.0,Low,LYS,19,4.0,Non-essential,76.1
SLC2A2,0.4923611658425204,79,0.2605042014617612,0.4660539579009783,0.1571216194844219,1.0,6.0,High,LYS,14,6.0,Non-essential,86.6
SLC6A14,0.4921248436788522,80,0.5798319322858556,0.165965016305959,0.0353692867309821,1.0,6.0,High,LYS,12,1.0,Non-essential,89.5
PTGFRN,0.4920942092123867,81,0.3697478988489514,0.4702045656685442,0.0280816068321999,1.0,4.0,High,LYS,7,1.0,Non-essential,84.1
TMEM63C,0.4919633909429015,82,0.3109243694866181,0.5217313963830418,0.1339300964731931,1.0,0.0,Low,LYS,14,6.0,Non-essential,74.3
P2RY13,0.4909698716123152,83,0.3361344534990467,0.4812333234509338,0.0829479677368337,1.0,6.0,High,LYS,23,4.0,Non-essential,83.1
CCR1,0.4907300512698196,84,0.3865546215239037,0.4596501630595908,0.0203068163846275,1.0,,No HPA data,LYS,6,4.0,Non-essential,83.2
PTPRC,0.4901917531570768,85,0.3277310921615705,0.4489771716572783,0.1573177289261426,1.0,6.0,High,LYS,24,1.0,Non-essential,76.0
ROS1,0.4898779372715299,86,0.2605042014617612,0.4626148828935665,0.2421445516368812,1.0,0.0,Low,LYS,45,1.0,Non-essential,72.2
OR13J1,0.4894417166474233,87,0.2605042014617612,0.5492439964423361,0.0823343349675786,1.0,,No HPA data,LYS,17,4.0,Non-essential,82.4
PROKR2,0.4888493840515267,88,0.2605042014617612,0.4885858286391936,0.1750308397912383,1.0,0.0,Low,LYS,23,4.0,Non-essential,78.3
LCT,0.4883659269021843,89,0.2605042014617612,0.4722205751556478,0.1379788075280721,1.0,,No HPA data,LYS,25,1.0,Non-essential,86.2
PTPRK,0.4883287648129603,90,0.3361344534990467,0.434390750074118,0.0875850071168749,1.0,6.0,High,LYS,14,1.0,Non-essential,82.3
OR6C65,0.4881625622194667,91,0.2605042014617612,0.4681292617847613,0.1010532974853708,1.0,,No HPA data,LYS,11,4.0,Non-essential,89.5
ADAM8,0.4881115080563783,92,0.3277310921615705,0.4725763415357248,0.1448173335442037,1.0,6.0,High,LYS,28,1.0,Non-essential,73.7
OR10H5,0.4877823333841694,93,0.2605042014617612,0.5469908093685146,0.0277906057251304,1.0,,No HPA data,LYS,7,4.0,Non-essential,88.1
IL2RG,0.48775533770001,94,0.453781512223713,0.4862733471686925,0.0042764510517159,1.0,3.0,Low,LYS,4,1.0,Non-essential,75.5
OR10H1,0.4874961835959079,95,0.2605042014617612,0.551082122739401,0.0342685434129369,1.0,,No HPA data,LYS,8,4.0,Non-essential,87.8
SLC16A1,0.4874455219658904,96,0.352941176173999,0.3815594426326711,0.1374916969792819,1.0,6.0,High,LYS,12,6.0,Non-essential,83.1
OR10A5,0.4873127777512697,97,0.2605042014617612,0.5168099614586421,0.0461236754705045,1.0,,No HPA data,LYS,12,4.0,Non-essential,89.1
SLC2A9,0.487208110212647,98,0.302521008149142,0.4214645715979839,0.1319247192788233,1.0,9.0,High,LYS,16,6.0,Non-essential,82.7
OR2B3,0.4871203637439694,99,0.2605042014617612,0.5194782093092202,0.0539933575834255,1.0,,No HPA data,LYS,12,4.0,Non-essential,86.1
GJB6,0.4869626364695946,100,0.302521008149142,0.4630299436703231,0.1086319784912225,1.0,,No HPA data,LYS,15,2.0,Non-essential,82.2
OR56A4,0.4868496223966213,101,0.2605042014617612,0.5089238067002668,0.0711940534556381,1.0,,No HPA data,LYS,7,4.0,Non-essential,86.4
DPP4,0.4865545948907123,102,0.3613445375114751,0.4097242810554402,0.0113680215087774,1.0,9.0,High,LYS,4,1.0,Non-essential,96.2
SLC12A5,0.486534061179028,103,0.4201680668738084,0.3858286391935961,0.0561315831092835,1.0,0.0,Low,LYS,9,4.0,Non-essential,78.5
OR2S2,0.4864591187698213,104,0.2605042014617612,0.5520308330862733,0.0766345089356318,1.0,,No HPA data,LYS,13,4.0,Non-essential,83.5
RHBDF2,0.4860881581424011,105,0.3277310921615705,1.0,0.1632769255100427,0.5,9.0,High,LYS,20,0.0,Non-essential,67.4
ADAM28,0.4860569606905129,106,0.3277310921615705,0.4227690483249333,0.1653518899256682,1.0,3.0,Low,LYS,29,1.0,Non-essential,75.6
SLC22A13,0.4856375595169153,107,0.252100840124285,0.4825970945745627,0.1144646528546576,1.0,9.0,High,LYS,8,6.0,Non-essential,84.7
SLAMF7,0.4853609163244344,108,0.5126050415860463,0.3568929736139934,0.0061553060256207,1.0,4.0,High,LYS,2,1.0,Non-essential,78.2
ABCC1,0.4852512018310418,109,0.2941176468116659,0.333530981322265,0.2090779693183615,1.0,6.0,High,LYS,23,9.0,Non-essential,82.6
CD5,0.4852257355779736,110,0.3697478988489514,0.5536910761932997,0.0142527281353787,1.0,4.5,High,LYS,3,1.0,Non-essential,73.4
ITGB8,0.4850806608540824,111,0.352941176173999,0.4801660243107025,0.0585608097422109,1.0,9.0,High,LYS,12,1.0,Non-essential,76.7
OR10G9,0.4849998072872031,112,0.2605042014617612,0.4873999407056033,0.0789688439032105,1.0,,No HPA data,LYS,8,4.0,Non-essential,87.3
OR8H1,0.4845924401717554,113,0.2605042014617612,0.5149718351615772,0.0413601138699984,1.0,,No HPA data,LYS,10,4.0,Non-essential,89.7
OR2C3,0.484457230023383,114,0.2605042014617612,0.5176400830121552,0.0600158152775581,1.0,,No HPA data,LYS,10,4.0,Non-essential,86.7
SLC22A8,0.4844532807568053,115,0.2605042014617612,0.4182626741772902,0.159873477779535,1.0,6.0,High,LYS,16,6.0,Non-essential,86.0
OR2A12,0.4843544187581604,116,0.2605042014617612,0.5408241921138452,0.0108176498497548,1.0,,No HPA data,LYS,6,4.0,Non-essential,86.6
PLXND1,0.4843412470620221,117,0.2773109241367135,0.48413874888823,0.1099288312509884,1.0,6.0,High,LYS,12,1.0,Non-essential,79.9
NALCN,0.4841726234301318,118,0.2352941174493327,0.3981025793062555,0.2856428910327376,1.0,3.0,Low,LYS,29,16.0,Non-essential,76.7
CD2,0.484157400388921,119,0.4873949575736176,0.424132819448562,0.001910485529021,1.0,4.5,High,LYS,4,1.0,Non-essential,77.7
OR13D1,0.4841260726934426,120,0.2605042014617612,0.5245775274236585,0.096422584216353,1.0,,No HPA data,LYS,19,4.0,Non-essential,80.9
ATP13A1,0.4839983190991242,121,0.2605042014617612,0.488526534242514,0.1213348094259054,1.0,4.0,High,LYS,14,5.0,Non-essential,78.7
SLC6A18,0.4839529523260518,122,0.2605042014617612,0.479632374740587,0.0755021350624703,1.0,6.0,High,LYS,19,6.0,Non-essential,90.5
ANO9,0.483855251494114,123,0.4201680668738084,0.2876964126890008,0.1143697611893088,1.0,3.0,Low,LYS,9,4.0,Non-essential,80.2
RET,0.4837243634531525,124,0.2689075627992374,0.3759264749481174,0.2450608888185987,1.0,4.0,High,LYS,29,2.0,Non-essential,78.8
GPR183,0.4836717227789884,125,0.2857142854741897,0.533649570115624,0.0205661869365807,1.0,9.0,High,LYS,8,4.0,Non-essential,86.5
ITGB5,0.4836386519370763,126,0.2941176468116659,0.3631781796620219,0.0913680215087774,1.0,6.0,High,LYS,22,1.0,Context-dependent,82.2
OR2T12,0.4835032858511721,127,0.2605042014617612,0.4728728135191223,0.0785133639095366,1.0,,No HPA data,LYS,12,4.0,Non-essential,88.9
TLR8,0.4833396666855713,128,0.3109243694866181,0.4737622294693151,0.0487806421002688,1.0,6.0,High,LYS,8,1.0,Non-essential,86.1
OR10H3,0.4832709640938749,129,0.2605042014617612,0.5462199822116809,0.0170045864304918,1.0,,No HPA data,LYS,5,4.0,Non-essential,86.8
TLR10,0.483045691816773,130,0.2857142854741897,0.5045360213459827,0.0555495808951447,1.0,,No HPA data,LYS,7,1.0,Non-essential,83.2
TMPRSS13,0.4827188218805461,131,0.4705882348986654,0.4096056922620812,0.0267531235173177,1.0,,No HPA data,LYS,6,1.0,Non-essential,73.6
SLC5A12,0.4822032109590963,132,0.2857142854741897,0.4623777053068484,0.0894954926458959,1.0,9.0,High,LYS,15,7.0,Non-essential,85.0
ITGB1,0.4821490995779262,133,0.3193277308240944,0.4623777053068484,0.0282081290526648,1.0,9.0,High,LYS,12,1.0,Non-essential,85.9
TYRO3,0.4821218163710138,134,0.2436974787868088,0.5241624666469018,0.155824766724656,1.0,6.0,High,LYS,21,1.0,Non-essential,74.8
OLR1,0.4820462053399055,135,0.50420168024857,0.2685443225615179,0.0044346038272971,1.0,,No HPA data,LYS,4,1.0,Non-essential,87.4
CCR5,0.4819905800584328,136,0.4285714282112846,0.3456270382448858,0.0316115767831725,1.0,,No HPA data,LYS,9,4.0,Non-essential,85.4
TMEM161A,0.481914877566632,137,0.302521008149142,0.510228283427216,0.016194844219516,1.0,6.0,High,LYS,6,5.0,Non-essential,85.1
OR10H2,0.4819140874091059,138,0.2605042014617612,0.4972428105544025,0.0641973746639253,1.0,,No HPA data,LYS,12,4.0,Non-essential,88.0
CLDN7,0.4817404838969238,139,0.6554621843231411,0.1093388674770234,0.0045358216036691,1.0,9.0,High,LYS,4,2.0,Non-essential,82.6
OR2A25,0.4816954947381203,140,0.2605042014617612,0.4789208419804328,0.0884263798829669,1.0,0.0,Low,LYS,11,4.0,Non-essential,84.8
MRC1,0.4815628973726643,141,0.2436974787868088,0.4537800177883189,0.1574126205914914,1.0,3.0,Low,LYS,27,1.0,Non-essential,82.1
OPN5,0.4810319414836545,142,0.2605042014617612,0.5369107619329974,0.0566186936580737,1.0,0.0,Low,LYS,11,4.0,Non-essential,84.0
SLAMF8,0.4807505820789227,143,0.3865546215239037,0.4595908686629113,0.0124687648268227,1.0,3.0,Low,LYS,5,1.0,Non-essential,81.3
SLITRK5,0.4804737787484522,144,0.252100840124285,0.3999999999999999,0.341742843586905,1.0,0.0,Low,LYS,35,1.0,Non-essential,65.5
SLC2A10,0.4802537638282111,145,0.3193277308240944,0.4747702342128668,0.0993389213980705,1.0,6.0,High,LYS,17,6.0,Non-essential,74.7
SCNN1G,0.4795624856948329,146,0.3361344534990467,0.4837829825081529,0.025361379092203,1.0,,No HPA data,LYS,6,1.0,Non-essential,80.1
AMIGO2,0.4791853191973563,147,0.302521008149142,0.5407648977171656,0.0580104380831883,1.0,9.0,High,LYS,17,1.0,Non-essential,75.1
SLC41A2,0.478962885732737,148,0.3361344534990467,0.4804032018974206,0.0877431598924561,1.0,6.0,High,LYS,9,6.0,Non-essential,72.8
ERBB3,0.4786646407310902,149,0.453781512223713,0.3174621998221168,0.1041341135536928,1.0,9.0,High,LYS,11,1.0,Non-essential,72.5
GFRAL,0.4784870757308855,150,0.2605042014617612,0.5474058701452713,0.0788992566819547,1.0,0.0,Low,LYS,9,1.0,Non-essential,76.8
ADAM17,0.4780381851093199,151,0.3193277308240944,0.5507856507560035,0.0292456112604776,1.0,4.0,High,LYS,9,1.0,Non-essential,72.7
GPR87,0.4779994248496995,152,0.4285714282112846,0.2429884375926475,0.1397944013917444,1.0,,No HPA data,LYS,18,4.0,Non-essential,81.9
APLP2,0.4779698143931368,153,0.3109243694866181,0.4722205751556478,0.1634730349517634,1.0,9.0,High,LYS,18,1.0,Non-essential,68.4
DAGLA,0.4776436683408231,154,0.2605042014617612,0.5367328787429587,0.1983552111339554,1.0,3.0,Low,LYS,27,2.0,Non-essential,63.0
CCRL2,0.4762979206805435,155,0.3445378148365229,0.4989030536614289,0.0339142811956349,1.0,9.0,High,LYS,12,4.0,Non-essential,77.8
SEZ6L2,0.4760882107985013,156,0.5882352936233318,0.1533946042099021,0.0817523327534398,1.0,3.0,Low,LYS,8,1.0,Non-essential,71.9
CSF2RA,0.4759446398181977,157,0.3613445375114751,0.4597094574562703,0.018333069745374,1.0,0.0,Low,LYS,3,1.0,Non-essential,82.0
SLCO1B3,0.4743770842893381,158,0.4705882348986654,0.2194485621108804,0.1087015657124782,1.0,6.0,High,LYS,24,6.0,Non-essential,79.1
CD68,0.4708524507552175,159,0.4201680668738084,0.4615475837533352,0.0170045864304918,1.0,4.5,High,LYS,8,1.0,Non-essential,73.2
UNC93A,0.4465651835088677,160,0.50420168024857,0.5067299140231247,0.0888439032105013,0.5,0.0,Low,LYS,11,0.0,Non-essential,85.1
MMEL1,0.4437238024114682,161,0.3277310921615705,0.5033501334123924,0.2721050134429859,0.5,0.0,Low,LYS,22,0.0,Non-essential,90.0
ATP13A3,0.4424768901192458,162,0.3109243694866181,0.4869848799288466,0.3657441088091096,0.5,6.0,High,LYS,47,0.0,Non-essential,77.7
ABCA12,0.438214332448261,163,0.4873949575736176,0.3882004150607767,0.3446275502135062,0.5,,No HPA data,LYS,46,0.0,Non-essential,68.1
RAET1L,0.4368141554586865,164,0.6470588229856649,0.4444707975096353,0.0042764510517159,0.5,,No HPA data,LYS,4,0.0,Non-essential,82.1
ABCA3,0.4325459761829471,165,0.2941176468116659,0.4307737918766676,0.3623090305234857,0.5,6.0,High,LYS,33,0.0,Non-essential,80.8
PRSS8,0.4240792479778482,166,0.9159663857849024,0.0006522383634746,0.0107860192946386,0.5,2.0,Low,SER,3,0.0,Non-essential,83.7
CLCA4,0.4198637678908898,167,0.2184873947743803,0.6528906018381262,0.1413189941483473,0.5,6.0,High,LYS,23,0.0,Non-essential,89.3
MPEG1,0.4197881623514333,168,0.3697478988489514,0.6125111176993774,0.0442448204965997,0.5,6.0,High,LYS,8,0.0,Non-essential,82.7
SPPL2A,0.4130555657498337,169,0.2857142854741897,0.5345982804624962,0.2160366914439348,0.5,9.0,High,LYS,17,0.0,Non-essential,79.4
OTOA,0.4070391750021407,170,0.2689075627992374,0.5299140231248147,0.1561473983868417,0.5,3.0,Low,LYS,18,0.0,Non-essential,84.0
SVOPL,0.4069981141204898,171,0.3361344534990467,0.4336792173139638,0.1781432864146765,0.5,0.0,Low,LYS,14,0.0,Non-essential,83.8
ATP13A5,0.4034217504654278,172,0.2436974787868088,0.499495997628224,0.232490906215404,0.5,0.0,Low,LYS,37,0.0,Non-essential,78.8
LAMP1,0.4033352830632215,173,0.302521008149142,0.5086866291135487,0.1268385260161315,0.5,9.0,High,LYS,18,0.0,Non-essential,86.4
ABCC12,0.4029019491296589,174,0.2605042014617612,0.4697895048917876,0.2370899889293057,0.5,0.0,Low,LYS,20,0.0,Non-essential,77.8
EFNA4,0.4029011751656753,175,0.4453781508862369,0.4770234212866883,0.0127597659338921,0.5,0.0,Low,LYS,5,0.0,Non-essential,82.7
SLC9A7,0.4015576576174803,176,0.3865546215239037,0.5179958493922324,0.1510991617902894,0.5,6.0,High,LYS,15,0.0,Non-essential,67.1
ATP13A2,0.4012508739085914,177,0.3193277308240944,0.3997628224132818,0.2208318835995572,0.5,9.0,High,LYS,30,0.0,Non-essential,79.6
CD109,0.4011973929156229,178,0.2857142854741897,0.5219685739697598,0.1288755337656175,0.5,0.0,Low,LYS,34,0.0,Non-essential,81.3
PLAUR,0.4010767004748581,179,0.4117647055363322,0.5072042691965609,0.0294733512573145,0.5,4.0,High,LYS,4,0.0,Non-essential,81.5
FRRS1,0.4008348464440416,180,0.3109243694866181,0.518410910168989,0.0661078601929463,0.5,6.0,High,LYS,11,0.0,Non-essential,88.3
MFSD11,0.4004075581254914,181,0.2857142854741897,0.4958790394307737,0.1265158943539459,0.5,6.0,High,LYS,14,0.0,Non-essential,87.7
TMEM37,0.3965847428608499,182,0.3613445375114751,0.5070856804032019,0.0151573620117033,0.5,9.0,High,LYS,3,0.0,Non-essential,87.4
IGF2R,0.3962529863276346,183,0.302521008149142,0.3998221168099614,0.2657915546417839,0.5,6.0,High,LYS,37,0.0,Non-essential,73.1
PAM,0.3943805141189469,184,0.2352941174493327,0.5421286688407945,0.2441562549422742,0.5,9.0,High,LYS,29,0.0,Non-essential,71.7
NPC1,0.3938905293920702,185,0.252100840124285,0.353038837829825,0.27378775897517,0.5,9.0,High,LYS,37,0.0,Non-essential,85.1
TECTA,0.3932592576135352,186,0.252100840124285,0.550607767565965,0.1350624703463545,0.5,3.0,Low,LYS,16,0.0,Non-essential,77.4
