gene,mean_plddt,plddt_below_70,plddt_below_50
SLC12A5,78.5,21.9,16.5
TSPAN13,90.0,6.9,0.5
PLAUR,81.5,24.2,18.2
NUP210,79.6,16.3,6.8
THY1,82.7,26.7,2.5
HLA-DPB1,87.4,15.5,1.9
GPR143,73.5,33.9,23.8
CACNG4,66.2,54.7,33.6
RPN1,90.1,7.2,4.4
CYBB,90.2,4.6,0.5
ITGA2,85.7,10.9,4.3
ITGB4,68.4,38.4,24.0
SLC52A3,80.4,22.0,15.8
CD79A,77.1,36.3,9.7
CA12,87.8,18.1,10.7
HLA-DOA,89.4,8.4,0.4
IL2RB,64.6,57.9,38.8
TSPAN6,88.3,13.5,1.2
PTPRF,82.0,14.2,6.7
CD4,85.2,16.6,8.7
ANO9,80.2,16.6,9.3
MSR1,67.4,51.9,25.3
EFNA1,79.1,35.6,15.1
SLC2A1,90.3,6.1,4.9
SELPLG,50.4,89.3,68.7
TMPRSS13,73.6,37.2,30.7
SLC34A2,72.9,30.7,21.6
RAET1L,82.1,29.7,11.8
GJB3,78.4,27.4,12.6
PTAFR,86.5,12.0,5.6
GGT1,94.8,3.2,0.7
EFNA2,79.9,33.3,15.0
EPHB2,80.0,21.1,15.0
ATP1B1,89.6,6.6,0.3
CD276,83.3,17.4,10.7
TREM1,71.6,47.9,24.8
SLC44A3,81.3,18.4,6.1
SLAMF8,81.3,25.3,15.1
SERINC5,77.6,26.0,17.3
SUSD3,69.1,49.0,30.6
CEACAM1,81.5,22.1,17.5
CCR5,85.4,15.6,12.8
CHRNA5,81.2,18.4,13.2
HLA-DMA,88.3,16.9,2.7
ICAM3,87.1,13.2,10.2
ADAM12,72.3,35.1,26.2
TTYH3,79.4,24.7,21.0
SLC9A7,67.1,43.9,26.3
LAMP5,86.5,17.1,5.4
OPN3,79.8,26.6,24.9
SELL,85.3,19.1,9.7
TGFA,66.5,52.5,22.5
CCR1,83.2,16.9,11.8
LY6E,77.6,30.5,3.1
HAVCR2,71.8,44.5,19.6
SSR1,76.1,37.4,18.9
P2RY6,85.9,10.7,4.9
TMEM182,87.5,10.5,0.0
HM13,82.4,17.8,12.5
CD47,86.3,15.5,6.5
CD14,84.7,18.4,14.1
TMEM171,55.6,71.9,44.1
RTN4R,75.1,39.3,34.5
SUSD4,70.9,43.5,30.6
MPZL2,89.4,7.9,0.0
LMAN2,84.1,21.1,14.9
LPAR5,84.0,18.8,11.6
SLC40A1,80.3,23.8,15.1
ADAM10,80.0,21.0,9.4
ICAM1,88.4,11.1,6.2
LYPD3,74.3,41.3,27.7
F2R,74.6,32.7,25.4
SIRPG,85.5,19.4,11.9
PTGFRN,84.1,15.0,3.4
TMEM9,72.8,42.6,8.7
VCAM1,84.3,13.9,6.4
TMEM123,59.6,76.4,39.4
EBP,95.6,3.5,0.9
CD7,77.0,40.0,12.9
TNFRSF18,74.4,38.6,20.7
SLC7A5,85.9,8.9,5.5
ALCAM,85.9,14.6,11.1
RNF128,75.5,35.0,27.1
SLC31A1,70.3,50.0,18.4
TRPV4,71.6,33.3,25.4
FLRT3,74.3,34.7,31.0
SLC52A2,84.1,16.4,10.1
SLC1A5,78.3,24.2,17.6
TNFRSF4,77.0,41.5,20.9
SLC39A6,60.4,56.6,46.1
FZD2,83.4,18.1,12.9
TMEM106B,75.9,35.0,22.3
SLC15A3,80.8,23.6,9.5
CD83,72.6,43.9,21.5
SPN,53.3,91.0,45.8
TSPAN33,89.2,9.5,4.6
MPEG1,82.7,19.0,10.2
LY75,75.6,27.0,10.1
CADM1,80.6,27.4,19.5
ITGAL,82.6,16.5,7.9
FCGR2A,76.9,37.5,24.0
IL27RA,79.0,25.5,13.1
TMEM37,87.4,13.2,7.4
TNFSF15,81.1,28.7,16.3
CSF2RA,82.0,25.0,16.5
UNC5B,76.6,27.5,22.2
CCR8,82.1,18.3,14.4
MS4A15,68.3,46.2,38.3
FCAMR,55.3,71.4,63.3
UNC93A,85.1,13.6,8.1
TNFRSF9,82.0,27.8,9.0
ABCA12,68.1,45.2,17.7
SLCO1B3,79.1,23.9,15.7
CD1A,88.6,9.5,6.4
GPR87,81.9,20.7,8.9
LRRC15,83.6,20.3,18.2
CNTNAP2,83.4,16.1,11.0
CD1B,90.8,10.5,6.3
CD3G,75.3,37.9,4.4
TNFSF11,79.2,32.5,16.4
UGT8,89.8,9.4,5.0
SIT1,60.8,80.6,23.5
ALPP,93.4,9.9,6.7
MUC15,52.2,85.0,57.2
TIGIT,74.6,42.2,21.7
IL22RA1,61.7,59.4,52.3
CLDN8,80.4,25.3,10.2
CD300LF,72.5,50.3,25.5
TLR7,87.6,11.2,4.9
GJB4,78.1,26.7,15.4
IL2RA,72.5,40.8,28.7
MSLN,78.6,21.1,16.5
SLC5A1,84.4,14.0,6.3
SLC15A1,87.0,6.9,2.7
ERVMER34-1,44.3,91.7,73.2
CD164L2,65.7,57.5,17.2
MFSD6L,74.2,33.8,23.9
RHBDL2,85.8,14.9,0.0
PTCRA,63.8,56.6,43.1
KLRB1,81.0,31.6,12.0
HCAR1,80.9,20.5,14.5
GABRD,79.2,22.3,17.7
MST1R,80.1,20.4,13.8
KREMEN2,76.8,35.9,25.8
ULBP2,81.8,30.9,10.6
IL21R,64.1,58.0,42.0
MPZL3,80.5,35.3,4.3
CCR6,79.6,23.3,15.2
ICOS,74.0,42.2,9.0
CD5,73.4,35.8,23.2
CD180,93.3,4.8,3.8
CD96,64.9,48.7,32.0
CEACAM5,87.1,8.7,8.1
ULBP3,81.6,29.5,13.9
AMN,80.5,26.0,16.6
CXCR6,82.1,20.5,11.4
HTR1D,79.0,24.9,17.8
CD300A,70.7,53.2,24.7
SLC44A5,82.2,17.7,4.2
SLAMF9,82.0,23.9,9.0
CD8B,82.0,24.3,5.2
DPP4,96.2,3.0,1.0
CD1E,81.5,25.5,17.0
HLA-G,90.5,10.1,7.1
LAMP2,83.2,17.1,12.0
EPHA10,79.2,22.0,12.8
DCSTAMP,82.3,17.9,1.1
CD6,66.2,50.7,45.2
SLC9A2,66.2,44.1,32.6
C3AR1,68.8,42.1,36.7
FOLH1,93.8,5.3,3.9
PMEPA1,56.7,80.8,44.6
CD70,83.2,21.8,6.2
FGFR3,74.2,32.6,22.7
TNFSF13B,78.4,34.0,27.7
SLCO1A2,80.2,20.7,13.7
CD9,88.6,7.9,0.0
APLNR,81.7,23.4,15.5
CHRNA1,84.0,16.0,9.0
LILRA4,83.1,17.4,14.2
GABRA3,76.4,30.7,25.2
ERBB2,74.0,33.1,24.5
CD82,88.3,8.2,0.4
ACE,90.9,5.7,3.9
SLC29A3,82.3,18.7,16.0
PTPRJ,77.8,24.6,18.1
CD37,83.1,19.2,6.4
SLC52A1,83.8,16.1,12.1
SLC37A1,79.5,23.1,17.8
ENPP5,88.1,15.7,10.3
IFNLR1,64.2,57.3,45.6
CD53,93.0,2.3,0.0
CD8A,78.2,33.2,14.5
NIPAL1,81.1,24.4,6.6
ERMP1,88.9,8.8,7.3
TM4SF1,80.6,20.3,8.9
ABCC4,83.0,11.8,7.9
SLC16A1,83.1,19.6,16.2
NOX4,87.0,11.1,7.8
FCRL5,76.0,25.5,15.1
FAP,95.6,3.4,1.4
BAMBI,64.6,53.8,29.2
IL12RB1,77.5,24.0,15.4
EDAR,66.6,47.8,33.3
TSPAN15,87.6,12.2,7.5
DLL3,65.2,46.0,27.5
CHRNA9,80.9,22.8,9.8
FZD5,81.6,22.1,14.5
SLC39A8,73.1,33.0,19.8
EVI2B,50.9,90.2,64.5
GPR19,74.4,35.4,22.7
ITGB7,83.0,14.9,6.3
ITGB8,76.7,25.9,18.3
CPD,82.5,17.8,13.6
GJB5,78.3,26.0,15.4
SLC28A3,80.3,21.1,12.4
CCRL2,77.8,31.4,12.2
SIGLEC10,73.2,34.0,24.1
IL17RB,79.5,22.7,12.9
TM9SF2,84.8,12.2,4.1
SLC1A4,80.5,20.5,13.0
TNFRSF17,65.0,60.3,33.2
GPRC5C,70.8,42.6,34.2
EMB,77.5,28.4,20.5
MS4A6A,74.5,37.1,24.2
CTLA4,80.1,31.8,9.0
UNC93B1,79.6,21.4,17.3
IL20RA,63.0,56.4,43.4
GABRP,79.2,27.3,16.8
SLC39A9,79.7,26.7,15.0
EPHA1,80.4,21.5,8.1
SECTM1,74.7,41.1,18.5
TMEM158,56.6,68.3,48.7
SORL1,73.2,33.8,11.8
NFAM1,72.4,45.9,26.7
TNFRSF10A,66.1,50.0,43.4
GPR158,58.0,59.2,48.1
LRRC37A2,42.1,83.1,77.7
CLDN16,77.0,27.2,17.9
SIGLEC15,78.4,30.8,23.5
MR1,87.5,15.0,5.9
CLEC5A,85.2,21.8,17.0
ACP2,91.6,11.3,2.1
LPAR2,85.6,15.8,6.6
SLC38A1,79.9,22.4,13.1
CDH11,77.7,26.5,20.0
SLC33A1,82.4,16.9,13.3
TLR3,90.6,7.9,4.1
IFNGR2,83.8,27.0,8.0
SCNN1G,80.1,21.3,14.8
FASLG,80.2,31.0,13.9
ZACN,77.5,27.4,18.4
P2RX4,89.3,6.2,0.5
RTN4RL2,79.0,32.4,27.6
ITGA6,80.4,19.9,12.3
BCAM,83.5,17.2,11.9
CD101,81.5,17.8,6.5
SVOPL,83.8,14.4,10.4
P2RY13,83.1,20.9,11.6
FAM171A2,58.8,65.7,54.1
LRRC25,70.3,46.2,28.9
BACE2,82.7,23.2,18.9
NCMAP,65.6,66.7,19.6
CD80,86.1,17.4,6.6
TMEM150B,93.0,8.2,0.4
LAIR1,71.4,48.4,26.8
TMEM154,62.5,72.7,30.1
BTN3A2,90.0,8.7,2.7
FAM174B,63.6,70.4,20.8
EPHA2,82.2,16.8,9.1
ATP1A1,88.7,5.7,2.9
PTPRK,82.3,15.1,10.8
SLC37A2,83.9,15.8,8.8
SLAMF6,77.2,31.6,25.9
SLC41A2,72.8,33.7,27.4
DSC3,75.2,30.5,23.9
CCR4,80.7,21.9,15.8
CD300C,74.0,41.5,21.0
PCDH1,76.2,27.7,22.2
SLC37A4,85.8,7.2,4.2
GABRQ,66.4,46.4,38.0
SIGLEC7,74.3,33.8,24.2
SLC13A2,83.2,16.7,7.8
ZDHHC5,58.8,65.7,56.1
TMED7,84.2,25.0,5.8
MMEL1,90.0,8.3,7.6
IFNAR2,64.4,58.4,38.6
FOLR2,89.2,14.5,1.6
CLSTN1,77.2,26.3,18.8
TMEM87B,73.9,34.8,17.1
EVI2A,56.7,82.6,37.3
MICB,78.0,29.5,20.9
NCSTN,89.4,5.4,2.3
PTPRC,76.0,28.0,24.9
UPK2,76.8,28.8,1.6
PRND,77.0,35.8,8.5
SLC30A1,67.4,46.5,34.1
F2RL2,76.3,29.7,14.7
ATRN,78.8,20.2,11.8
LRP11,67.7,48.6,32.8
FLVCR1,77.6,28.6,22.9
SLC6A11,86.6,13.9,11.4
PIGT,87.3,12.1,2.9
P2RY10,83.8,17.4,5.3
IFNAR1,78.0,27.6,20.6
CADM4,85.3,18.6,13.9
ITGA3,83.6,14.3,6.9
CD44,53.2,76.1,69.7
GRIN2D,63.2,48.6,39.6
LRP8,72.5,35.1,23.2
PIGO,82.5,19.9,7.8
ADAM28,75.6,28.5,19.4
LY9,66.1,47.5,35.1
SLC7A1,82.2,17.3,7.8
RHBDF2,67.4,43.5,34.9
IGFLR1,71.9,41.4,27.3
SLC18A1,77.2,28.2,19.0
CDH7,78.4,26.6,16.4
TNFRSF19,60.3,63.4,53.7
MPZL1,76.4,37.9,16.4
MMP14,80.8,24.2,18.0
SEMA4A,84.3,17.9,11.2
DPEP1,93.3,10.5,6.3
OR2B6,88.0,8.3,3.2
TNFRSF10C,71.6,49.8,26.3
SUCNR1,87.5,9.9,2.1
ADAM8,73.7,32.3,23.7
FZD6,72.4,35.6,29.3
ITM2C,76.2,36.3,19.5
CHRNB4,81.3,22.5,16.7
GPC4,83.2,21.6,15.1
GPR37,61.9,56.9,44.9
PSEN1,72.1,39.2,27.0
SMO,72.7,39.5,28.0
C11orf24,51.5,88.9,62.8
TCTN2,74.5,35.4,10.0
SUCO,52.4,72.0,66.1
TMEM179B,85.9,16.4,5.5
DAG1,68.2,47.9,38.0
LAG3,78.3,28.2,17.3
ADAM9,76.2,28.1,20.3
CX3CR1,80.5,23.4,10.7
ITGAV,88.3,10.6,7.8
ATRAID,87.0,17.0,2.6
IL10RB,82.1,28.9,15.7
CD63,90.6,6.3,2.5
SUSD1,77.8,21.6,9.8
ITGB1,85.9,10.8,3.3
IL1RL2,77.2,23.0,14.1
TM9SF1,84.2,15.5,7.8
GPR132,79.5,23.2,16.6
GABRG3,75.2,30.6,28.1
ATP13A2,79.6,17.7,10.3
TGFBR1,84.2,18.3,11.5
MUC13,67.1,50.2,33.2
BSG,86.1,16.4,8.6
PRSS21,84.7,20.4,12.4
CLDN12,81.0,27.5,17.2
LRP5,77.9,21.9,16.8
TM7SF3,88.4,10.5,6.1
PLXNC1,79.1,19.9,9.0
HRH1,70.0,38.2,34.3
CD164,66.6,56.3,23.4
ICOSLG,82.6,23.2,15.9
NKAIN1,75.5,39.6,11.1
PTPRH,83.6,14.9,8.6
PANX1,74.3,30.8,17.6
STT3B,79.8,20.5,15.1
CLDN10,80.1,25.9,15.8
CLN3,81.5,21.5,18.3
KISS1R,75.3,31.7,21.4
TSPAN17,88.4,10.0,4.1
EPHB4,82.0,17.2,10.1
ANO1,76.6,25.8,14.6
GPR137B,68.9,42.6,30.6
GPR84,80.7,23.5,19.7
ACVR1,83.1,19.8,12.0
LPAR3,81.4,21.0,11.6
ADAM17,72.7,32.8,23.1
PCDHA11,73.5,33.0,29.4
C3orf80,59.4,75.3,34.0
LRRN4,69.4,39.1,33.9
SLC2A10,74.7,29.4,23.1
TSPAN3,87.0,12.3,2.4
UBAC2,72.1,37.8,12.2
LILRB2,75.9,30.3,25.6
IL1RAP,86.1,9.1,6.7
PCDH17,67.7,44.1,40.5
CNNM4,76.5,26.6,16.9
SEMA4B,81.6,24.4,16.1
APP,67.4,44.5,35.7
NRCAM,77.4,24.4,15.6
CXCR5,81.1,26.1,10.2
SLC38A8,83.7,15.9,8.0
IGSF8,88.1,9.8,3.1
LMAN2L,84.4,19.5,14.1
TSPAN14,88.1,10.7,2.2
CD151,88.3,9.1,4.0
NIPAL3,75.1,28.8,23.9
SLC3A2,78.7,26.3,24.9
PMEL,68.5,44.9,35.1
SLC44A1,83.4,12.9,6.2
TMEM63C,74.3,31.9,18.6
SLITRK6,67.6,41.4,34.5
CD1C,88.5,11.4,7.2
ADORA2B,88.1,12.0,7.8
CD320,63.8,65.2,31.9
SLC39A10,58.9,60.0,48.5
SLC17A5,84.2,15.2,8.5
CSF1R,77.8,25.0,18.7
HCAR2,82.7,16.5,13.8
GRM8,84.1,14.1,7.7
UPK1B,86.5,7.3,0.0
PKD2L1,75.4,27.5,19.5
DISP2,67.5,40.4,34.5
IL7R,67.5,52.1,38.8
NTM,82.4,21.2,19.5
PCDHB9,81.6,17.9,15.6
SCARB1,83.4,16.3,13.2
SLC43A2,78.9,23.7,18.8
CD28,81.3,31.4,1.8
CALCRL,78.7,24.7,11.9
PTTG1IP,77.2,35.6,5.0
TLR1,87.2,10.1,1.0
SLCO4C1,78.6,24.4,16.2
ITGA4,84.4,14.2,5.9
ABCC3,81.9,12.9,7.5
SLC9A1,67.6,42.6,29.1
TMEM26,77.5,24.7,17.9
GPR171,87.7,7.8,1.3
GPR141,81.6,19.3,4.3
SLC35A5,76.8,30.4,18.9
TM9SF3,86.6,10.7,2.7
TNFSF4,84.8,19.1,9.3
ATP13A3,77.7,20.8,11.5
SCARB2,92.7,5.0,1.7
SLC29A2,84.2,18.4,12.1
LYPD5,84.0,23.5,5.2
SIGLEC14,83.4,16.4,9.6
VSIG1,75.6,39.8,21.2
TMC7,77.4,24.2,12.4
OR7A5,85.9,12.2,5.0
TMPRSS11E,90.0,6.1,3.5
TM9SF4,85.6,11.4,3.4
TMEM63B,72.6,34.9,18.9
GPR34,77.5,27.0,20.2
CDHR2,80.5,15.7,11.4
TLR8,86.1,13.9,4.8
FRRS1,88.3,8.8,3.5
TCTN3,71.2,36.9,22.6
CASR,75.7,28.7,20.5
HFE,88.1,13.8,4.3
ULBP1,80.7,29.1,10.7
TMEM87A,71.7,34.1,21.8
APLP2,68.4,41.9,33.9
TNFSF8,78.9,28.6,14.5
PRLR,61.0,61.3,45.5
PANX2,57.2,67.1,46.5
GLIPR1,87.1,18.4,8.6
UPK3A,78.6,28.6,18.1
CHRNA6,79.5,22.5,19.4
IL13RA1,81.6,23.9,13.6
CD38,90.9,10.3,2.7
LMBR1,79.4,21.0,6.3
HLA-F,89.6,12.4,7.2
CLDN2,79.4,27.8,9.6
LDLRAD3,61.4,64.1,37.7
SLC45A4,65.8,45.2,41.1
FZD3,75.5,32.0,25.2
CEACAM21,85.2,22.2,7.8
HCAR3,79.2,22.0,19.1
FCER1A,84.4,23.0,5.4
IGF2R,73.1,27.5,9.7
ANKH,84.5,11.2,6.3
QSOX1,77.7,31.1,27.3
AMIGO2,75.1,31.2,26.8
CSPG5,51.9,82.3,67.5
EFNB2,70.8,47.4,32.1
AVPR1B,73.7,35.8,28.3
SIGLEC12,75.4,28.1,21.5
SLC34A1,72.1,33.2,23.8
TNFSF18,86.7,16.9,9.0
S1PR4,78.4,23.2,12.0
SIRPB1,85.1,18.6,9.3
CR2,74.9,27.4,6.3
CD84,74.6,39.7,26.1
VNN1,92.4,9.6,8.8
DUOXA1,82.5,21.0,17.5
LINGO1,86.1,18.2,15.6
ITM2B,75.4,33.5,20.3
GPR157,81.4,22.7,12.8
IL17RD,68.3,43.0,36.5
PDCD1,74.2,43.1,16.3
SEMA7A,89.1,14.6,8.1
TMEM106A,75.5,31.3,23.7
CRTAM,73.5,40.7,28.2
BTN3A3,82.8,20.5,11.3
ERVV-1,42.2,91.4,69.2
PTH2R,71.6,37.8,24.5
GPR25,82.4,20.5,14.1
GPR65,82.6,23.1,4.2
PCDH7,75.8,27.0,23.4
GPC6,82.0,23.6,18.7
SLC29A4,74.4,30.0,27.2
NOTCH3,61.4,60.1,25.0
KCNK5,69.0,43.9,33.1
ITGA11,85.3,10.7,4.3
MEP1A,84.5,16.2,12.1
TRGC2,82.0,24.9,15.3
LAMP1,86.4,14.4,5.8
SLC6A12,87.5,12.9,10.3
PTPRO,77.4,25.6,14.8
PROM1,85.5,9.9,7.9
ACVR1B,83.4,21.0,10.9
KITLG,71.9,42.9,18.7
SIGLEC9,73.4,37.1,23.1
SIGLEC8,73.8,34.5,28.9
ITGAX,88.0,9.4,3.4
TMEM161A,85.1,14.0,6.1
XCR1,84.9,15.6,10.8
NEO1,68.0,37.2,28.9
GJB6,82.2,18.0,9.6
VSIG10,77.1,28.5,23.1
CLDN6,80.2,23.6,12.7
ENTPD1,91.0,8.0,3.1
ANO7,77.7,20.9,15.8
PSCA,81.3,32.5,6.1
M6PR,84.8,20.2,2.9
TRAT1,63.8,66.1,25.8
TMEM219,67.9,52.5,18.8
FGFR4,73.6,32.9,24.4
HLA-DOB,87.1,19.8,5.5
SLC12A7,80.8,18.4,12.0
NRP2,78.6,27.0,18.6
SIDT1,80.3,21.8,13.4
HYAL2,91.0,11.0,7.8
MFSD12,84.7,15.6,10.0
TMEM9B,72.4,37.9,13.6
SEMA4F,82.9,19.2,14.0
HHLA2,80.9,25.6,15.7
CCR2,77.7,28.1,20.6
SLC2A9,82.7,14.1,12.0
TRIL,71.6,37.2,30.2
EDNRA,74.4,31.1,25.1
FZD1,78.2,27.8,19.6
GJA3,67.8,49.7,38.2
ITFG1,89.5,8.2,5.1
KIAA1549L,44.3,78.7,75.0
P2RY8,84.3,15.9,14.5
GPNMB,76.7,31.5,18.5
SLC19A1,72.1,34.3,31.5
LHFPL5,89.2,7.3,4.6
BTN3A1,89.6,6.2,0.2
OR2A7,79.3,25.2,2.9
EFNB3,67.8,53.5,32.6
CD163L1,72.9,33.4,13.0
LRFN1,69.7,42.4,34.8
TPBG,82.2,22.9,14.0
OXTR,78.6,28.3,17.0
MFSD2A,80.6,19.9,12.0
FCGR2B,78.4,36.8,21.3
TLR5,88.8,9.9,4.4
CD46,82.1,27.3,16.1
BTC,71.9,36.0,19.1
MME,96.2,3.2,2.0
TMEM217,71.7,38.4,21.0
LRRN1,82.0,20.3,15.2
BDKRB2,79.5,25.6,14.6
GPR180,81.2,19.3,8.6
RNF13,74.4,33.1,23.9
NCR3,83.6,25.9,4.0
ACVR2B,83.3,18.6,14.6
FPR1,83.8,18.0,8.6
CDH16,81.8,17.2,9.4
PLXNB2,82.5,14.2,4.4
SCN8A,68.4,38.6,25.5
MANSC1,56.6,67.7,59.4
PLXDC2,69.6,43.1,31.9
ABCC1,82.6,11.8,7.4
TXNDC15,64.2,54.2,42.8
MILR1,74.5,41.7,26.2
SLC46A1,83.1,14.8,6.5
SLC17A8,77.9,28.4,19.5
SLC22A11,87.6,8.9,0.5
SLC24A2,67.3,44.5,36.2
GRM5,71.1,36.8,33.0
GPR107,70.5,38.0,24.0
DGCR2,63.1,55.1,37.8
SLC38A9,76.5,27.3,15.9
AQP9,91.5,9.8,7.1
ABCA3,80.8,14.6,5.0
CLSTN3,77.3,26.9,19.4
PCDH12,65.9,45.4,41.6
UNC5A,77.4,26.0,19.8
P2RY2,78.9,28.9,20.2
TM4SF18,79.5,24.4,6.5
SLC1A1,80.2,22.5,14.9
EMP2,95.0,0.0,0.0
PTPRR,72.2,37.6,30.9
FCRL3,77.2,26.7,22.8
DCBLD1,67.6,45.7,40.1
PVR,84.9,19.9,11.8
ITGB5,82.2,15.8,6.3
PDCD1LG2,86.4,18.3,4.8
CD40LG,82.6,22.6,8.8
LYPD8,79.3,27.8,11.0
LTBR,66.6,51.7,37.0
TSPAN31,89.3,8.6,0.5
LILRB1,73.4,37.2,31.5
SYPL1,82.7,21.6,5.0
IL9R,63.1,55.7,41.8
MFSD6,65.7,47.0,43.4
S1PR5,77.7,29.6,21.6
SLAMF1,74.9,37.9,19.7
OR51B5,89.6,4.2,1.9
TMEM213,68.4,53.3,20.6
TNFRSF11A,58.9,64.9,55.0
SLC2A6,81.6,16.8,10.8
SDK2,72.8,27.1,14.4
ZPLD1,77.3,27.2,14.7
PCDHAC1,73.1,32.5,29.4
PSEN2,71.8,35.9,28.6
GPRC5D,76.0,32.2,22.6
SLC6A9,81.1,22.4,17.7
PCDHB8,81.0,19.0,16.1
MC4R,80.1,23.2,14.5
SLC26A2,80.9,18.0,13.1
ADORA1,92.4,8.0,0.3
CNNM3,66.7,43.1,31.1
CYSLTR1,85.7,18.4,7.1
SLC5A3,78.7,22.1,17.5
SPPL2A,79.4,23.5,11.2
SEMA5B,74.9,31.5,18.9
CD19,62.2,56.8,44.8
SLC5A12,85.0,14.6,8.6
LRP12,62.5,49.2,35.5
ICAM4,83.2,22.9,15.1
TMEM62,91.8,5.9,1.7
MFSD11,87.7,10.5,4.7
FFAR4,79.3,24.7,16.3
TLR10,83.2,15.4,7.8
MYOF,79.4,19.6,9.7
ROR2,68.3,40.2,32.4
GPR18,86.3,13.6,4.2
KCNS1,78.6,26.6,13.3
GPR183,86.5,13.6,5.0
P2RX3,88.4,9.6,6.3
GGT3P,94.3,2.8,0.5
ATP1A3,88.8,4.6,2.1
DLK2,73.8,35.0,30.8
NRROS,83.3,21.8,6.8
GJB7,83.3,18.4,4.9
TNFRSF13B,62.5,64.5,41.3
FLVCR2,80.6,21.7,16.9
CX3CL1,55.9,73.6,54.9
PODXL,52.9,76.9,60.0
IGF1R,78.0,24.8,15.7
PHEX,94.3,3.1,1.6
PCDHA12,74.2,31.9,27.1
TLR2,87.9,11.5,2.8
SPACA4,81.3,26.6,7.3
GRM4,83.7,14.7,9.4
MFAP3,61.4,60.2,38.7
GPR27,78.7,30.9,13.1
ELFN2,61.0,56.6,46.0
CLEC7A,77.6,35.6,23.1
S1PR2,82.6,21.0,13.3
CD109,81.3,15.4,8.0
PCDHAC2,71.9,37.0,31.4
FURIN,84.7,19.4,13.0
GPR161,68.6,46.5,29.9
LILRA5,80.2,26.1,17.7
LDLR,75.4,27.3,16.9
C5AR1,85.7,19.4,9.1
NT5E,91.9,9.1,7.3
SLC22A23,72.2,35.4,26.8
GPR68,80.4,22.7,16.4
CD58,83.0,22.4,7.6
KIRREL2,75.4,31.8,26.6
ASTN2,64.2,55.4,38.2
SLC5A5,81.3,20.4,16.3
HTR2B,71.5,40.1,31.6
ANTXR1,72.4,44.0,24.3
OPRL1,82.3,18.1,11.6
FCRL4,77.9,29.3,24.3
