gene,rank,final_score,tsi_norm,pocket_norm,ldt_norm,ldt_score,n_pockets,n_nucleophiles,top_res_type,uniprot_id,tumor_median_log2,tumor_positive_rate,depmap_score,depmap_label,mean_plddt,plddt_below_70,plddt_below_50,enhanced_score,enhanced_rank,composite_primary,rank_primary,pu_score_v2,pu_score_v2_rank,maxITSI,best_cancer_ind,FC_best,P_tumor_best,pu_score_v3,pu_score_fused,pu_rank_fused,known_target
EPHB3,50,0.3334084864915573,0.4285714282112846,0.1011545152617428,0.438778535428402,0.0074,41,13,LYS,P54753,3.354,0.868,-0.0063500836790701,Non-essential,82.1,17.3,12.3,0.3826832625464858,44,0.3727409883095729,45,0.7197449374222745,183,0.9181,Sarcoma,5.347,0.94,0.648116003411604,0.8996763754045307,249,0
SLC15A1,74,0.3213568308820455,0.3949579828613799,0.0912731298434287,0.4533056626148828,0.007645,24,17,LYS,P46059,-1.831,0.329,0.0815600857940355,Non-essential,87.0,6.9,2.7,0.3824799921160609,45,0.3720436486082323,47,0.580027435394316,541,0.6954,Esophageal,4.64,0.618,0.727888342257137,0.8580097087378641,352,0
CLCA4,63,0.3256578367056941,0.2184873947743803,0.1413189941483473,0.6528906018381262,0.011011,36,23,LYS,Q14CN2,-5.012,0.182,-0.0012736867377465,Non-essential,89.3,8.6,5.0,0.3814229871676515,46,0.3734889368750689,43,0.3599544636212787,1461,0.8264,Head&Neck,4.691,0.682,0.5115051555721973,0.5396440129449838,1139,0
GPR143,38,0.3515686422690766,0.4369747895487607,0.092019610944172,0.4972428105544025,0.008386,17,9,LYS,P51810,1.311,0.725,0.1074403908533944,Non-essential,73.5,33.9,23.8,0.3813567817167098,47,0.3709577622639184,48,0.7573228089651555,120,1.647,Uveal Melanoma,8.398,1.0,0.749147449595214,0.9526699029126213,118,0
SPPL2A,46,0.3394762057616052,0.2857142854741897,0.2160366914439348,0.5345982804624962,0.009016,21,17,LYS,Q8TCT8,4.932,1.0,0.0204405703331333,Non-essential,79.4,23.5,11.2,0.3791587428925742,48,0.3749605774647709,40,0.5923616834932652,501,0.5655,Glioblastoma,3.199,1.0,0.5949645747205462,0.8046116504854369,484,0
SLC19A1,40,0.3506409517666791,0.302521008149142,0.2553914281195635,0.5100504002371775,0.008602,19,30,LYS,P41440,3.217,0.992,-0.0226839682103804,Non-essential,72.1,34.3,31.5,0.3779428099413849,49,0.3757123813473632,39,0.442732540717893,1072,0.4236,Sarcoma,2.416,0.992,0.4326422010444637,0.5687702265372168,1067,0
NETO2,37,0.3526530835180188,0.453781512223713,0.0147018820180294,0.5557663800770827,0.009373,11,4,LYS,Q8NC67,2.919,0.916,0.0326953737376259,Non-essential,72.1,39.8,29.9,0.3766405948020775,50,0.362375688902979,67,0.5020955506022213,813,0.8463,Kidney Clear Cell,4.806,0.996,0.3018256682974432,0.5343851132686084,1152,0
ITGB4,39,0.351465423321957,0.403361344198856,0.3970330539300964,0.236703231544619,0.003992,85,38,LYS,P16144,5.797,0.994,-0.0569285429224851,Non-essential,68.4,38.4,24.0,0.3762105418382784,51,0.3810621945347832,37,0.935025707489204,2,1.1775,Cholangiocarcinoma,6.661,1.0,0.8889940781005587,0.9983818770226537,5,0
SLC33A1,61,0.3259097035927667,0.3361344534990467,0.1673888976751542,0.4707975096353393,0.00794,15,17,LYS,O00400,3.91,0.999,-0.1620634513854923,Non-essential,82.4,16.9,13.3,0.3752936605522897,52,0.3686631054360474,52,0.434263115692111,1115,0.4227,Kidney Clear Cell,2.391,1.0,0.5189456131347207,0.6213592233009708,937,0
ATP1B1,109,0.3121069192079195,0.3865546215239037,0.0124687648268227,0.5124814705010375,0.008643,13,5,LYS,P05026,6.861,0.998,-0.1254179681257649,Non-essential,89.6,6.6,0.3,0.3749316763653313,53,0.3605551146066725,73,0.5666430286904556,579,0.6096,AML,3.551,0.971,0.7073452736741385,0.8434466019417476,388,0
MST1R,55,0.3285047702159185,0.3781512601864275,0.1968622489324687,0.3939519715386895,0.006644,58,14,LYS,Q04912,2.79,0.748,-0.052916208613663,Non-essential,80.1,20.4,13.8,0.3746564961830392,54,0.3694996086296626,49,0.761830033933792,117,0.9199,Cholangiocarcinoma,5.352,0.972,0.672977091149678,0.9235436893203883,190,0
VTCN1,103,0.3127493586874238,0.6134453776357603,0.0031061205124149,0.2214645715979839,0.003735,6,4,LYS,Q7Z7D3,-0.492,0.462,-0.1553564314757152,Non-essential,88.5,11.7,7.8,0.3741485552001158,55,0.3593038612257365,75,0.6684500963857605,296,2.3578,Uterine,8.239,0.949,0.6416115492360018,0.8689320388349515,325,0
CPD,65,0.3251627486415298,0.352941176173999,0.0914376087300332,0.5218499851764008,0.008801,54,22,LYS,O75976,3.961,0.998,-0.1832010891097102,Non-essential,82.5,17.8,13.6,0.3740513101375082,56,0.3636231905740097,63,0.5348226951624742,684,0.4258,Kidney Papillary,2.409,1.0,0.7432816254428134,0.8385922330097088,400,0
SLC9A7,35,0.355350351964318,0.3865546215239037,0.1510991617902894,0.5179958493922324,0.008736,33,15,LYS,Q96T83,2.053,0.916,0.0153554697984122,Non-essential,67.1,43.9,26.3,0.3736678703289967,57,0.3662228284185112,56,0.6130320540870005,448,1.1021,AML,6.319,0.971,0.5038347667606501,0.758495145631068,598,0
OR2T33,336,0.2695665398819519,0.2605042014617612,0.0821382255258579,0.4690779721316335,0.007911,18,10,LYS,Q8NG76,-9.966,0.001,-0.6056867939587738,Essential,88.7,6.6,1.9,0.3723805199259892,58,0.3264874312022821,186,0.1405173303181554,2084,0.2235,AML,5.523,0.081,0.0627961203072013,0.15291262135922334,2095,0
CATSPERG,78,0.3193489705199096,0.2605042014617612,0.2936770520322632,0.4234805810850874,0.007142,71,35,LYS,Q6ZRH7,0.934,0.755,-0.1049606397546933,Non-essential,83.9,13.1,7.2,0.372365878790954,59,0.3720497313925672,46,0.5682750614994493,571,0.6236,AML,3.527,1.0,0.6659817114887505,0.8288834951456311,424,0
EFNA4,66,0.3250862165206689,0.4453781508862369,0.0127597659338921,0.4770234212866883,0.008045,7,5,LYS,P52798,3.842,0.978,-0.1592574236990451,Non-essential,82.7,21.4,11.4,0.371928149615328,60,0.3575661379120226,78,0.4924852928998089,858,0.7491,Sarcoma,4.237,1.0,0.538670385001075,0.6933656957928802,759,0
EPHA10,60,0.3266536166893555,0.3613445375114751,0.1918140123359165,0.415238659946635,0.007003,42,18,LYS,Q5JZY3,-0.357,0.455,-0.1017577756288418,Non-essential,79.2,22.0,12.8,0.3712337561996542,61,0.36582445681645,58,0.7928878357841931,81,1.4315,Cholangiocarcinoma,7.618,0.861,0.8077160880952475,0.9728964401294499,68,0
SVOPL,84,0.3180005325182108,0.3361344534990467,0.1781432864146765,0.4336792173139638,0.007314,22,14,LYS,Q8N434,-1.51,0.305,0.005448830475048,Non-essential,83.8,14.4,10.4,0.3712026846568264,62,0.3651098489775602,60,0.4539877748836579,1019,1.1677,AML,7.504,0.642,0.5392624263793743,0.6589805825242718,844,0
SLC22A14,69,0.3241218249205634,0.2605042014617612,0.2483947493278507,0.4846723984583457,0.008174,17,26,LYS,Q9Y267,-4.293,0.003,0.0437813258989124,Non-essential,81.2,19.4,12.5,0.3700432574581655,63,0.367462994924558,55,0.3721528330968414,1404,-0.0,AML,-1.094,0.0,0.3057375432011379,0.41302588996763756,1452,0
PLAUR,62,0.3257091683506955,0.4117647055363322,0.0294733512573145,0.5072042691965609,0.008554,16,4,LYS,Q03405,4.751,0.992,-0.0848302574872164,Non-essential,81.5,24.2,18.2,0.3690870520511851,64,0.3555607196140508,83,0.7209643621675591,180,1.032,Pancreatic,5.838,1.0,0.740912373436928,0.9356796116504854,160,1
SLC22A9,106,0.3126603712719629,0.2605042014617612,0.2180167641942116,0.4768455380966498,0.008042,33,11,LYS,Q8IVM8,-9.966,0.043,-0.1244239718895047,Non-essential,85.7,11.2,4.3,0.3686920460843317,65,0.3645928842940423,61,0.3572863756524356,1469,0.7142,Liver,1.069,0.945,0.1602804549165485,0.3046116504854369,1720,0
ATP1A1,406,0.2622945342612204,0.3361344534990467,0.0639063735568559,0.3622294693151496,0.006109,49,13,LYS,P05023,8.109,1.0,-1.249447818147238,Essential,88.7,5.7,2.9,0.3684810194426677,66,0.3216763381205105,230,0.6488258753589419,342,0.7706,Cholangiocarcinoma,4.359,1.0,0.8431623835908998,0.9316343042071198,170,0
DUOX2,91,0.3160297493865433,0.2689075627992374,0.221186145816859,0.4737029350726355,0.007989,78,22,LYS,Q9NRD8,-1.552,0.377,-0.1470485056814292,Non-essential,84.0,14.4,7.6,0.3684399172021067,67,0.3644992244929497,62,0.6542599820711682,334,1.4656,Pancreatic,8.165,0.915,0.6151236305995715,0.8466828478964401,380,0
OTOA,100,0.3133814515731918,0.2689075627992374,0.1561473983868417,0.5299140231248147,0.008937,62,18,LYS,Q7RTW8,-2.548,0.048,0.018269891818062,Non-essential,84.0,12.4,7.9,0.3682330023576472,68,0.3610403722769892,70,0.320872888764613,1625,0.5786,Kidney Papillary,4.576,0.335,0.2175872733317694,0.30258899676375406,1725,0
FCGR1A,280,0.2758439262306208,0.4789915962361415,0.0095524276451051,0.2712718648087756,0.004575,9,4,LYS,P12314,3.541,0.961,-0.7475102334035815,Essential,85.1,19.8,9.1,0.3680531317961196,69,0.3185307531783749,251,0.5007682291695027,818,1.1897,Sarcoma,6.838,0.984,0.5336730879883028,0.6978155339805825,748,0
NPC1L1,105,0.3127189928294593,0.2436974787868088,0.2787474300173968,0.4387192410317225,0.007399,68,36,LYS,Q9UHC9,-3.816,0.134,-0.2147768885786263,Non-essential,84.2,12.7,6.4,0.3669607853376629,70,0.3658981568385327,57,0.4617625710942132,990,0.9904,Pancreatic,5.374,0.864,0.5427555196019346,0.6670711974110033,824,0
PKDREJ,48,0.3378475484343457,0.2605042014617612,0.2886920765459433,0.4901274829528609,0.008266,129,33,LYS,Q9NTG1,-4.035,0.001,-0.0120674287279553,Non-essential,70.7,34.7,16.7,0.3661813603863175,71,0.3656159642136146,59,0.4234890818051212,1154,0.2131,AML,3.86,0.214,0.1746061822646014,0.38066343042071193,1532,0
TNFRSF21,42,0.3456417113816308,0.453781512223713,0.0303463545785228,0.5167506670619626,0.008715,24,7,LYS,O75509,4.871,0.994,0.1112581767834228,Non-essential,68.0,44.9,40.2,0.3656977846884209,72,0.352215102417347,91,0.6947990374135304,238,0.8612,Cholangiocarcinoma,4.872,1.0,0.6386733683368756,0.8802588996763754,297,0
LAMP1,110,0.3116659497985609,0.302521008149142,0.1268385260161315,0.5086866291135487,0.008579,13,18,LYS,P11279,7.212,1.0,0.1116357874083905,Non-essential,86.4,14.4,5.8,0.3653636416346197,73,0.3567055679354263,79,0.5771493385213461,546,0.4199,Sarcoma,2.376,1.0,0.5593113169252902,0.7738673139158576,560,0
ABCC11,93,0.3156755048451127,0.2773109241367135,0.3780863514154673,0.3044174325526237,0.005134,85,34,LYS,Q96J66,-2.466,0.17,0.0414063150005394,Non-essential,78.9,17.9,11.0,0.3647847694398725,74,0.3686890870106458,51,0.7937150643382883,79,2.5988,Uveal Melanoma,8.432,0.975,0.7056714455319164,0.9413430420711975,146,0
CSF1R,71,0.3232852447457871,0.3109243694866181,0.2562328008856555,0.406818855618144,0.006861,31,39,LYS,P07333,3.701,0.983,-0.0114940264641004,Non-essential,77.8,25.0,18.7,0.3645864434462662,75,0.362398083490549,66,0.7931243043261538,80,1.0449,AML,5.818,1.0,0.7031996969440003,0.9393203883495146,151,0
ATP13A5,87,0.3170750626678119,0.2436974787868088,0.232490906215404,0.499495997628224,0.008424,63,37,LYS,Q4VNC0,-4.293,0.13,0.0843678554412426,Non-essential,78.8,18.9,9.4,0.3643908435362901,76,0.3610153888470603,71,0.384812834197313,1349,0.2332,Cervical,4.929,0.15,0.4717645368258867,0.5368122977346279,1146,0
ABCC12,90,0.3162655287310325,0.2605042014617612,0.2370899889293057,0.4697895048917876,0.007923,75,20,LYS,Q96J65,-9.966,0.036,0.0478070161525295,Non-essential,77.8,18.6,10.9,0.3642963439668898,77,0.361150843413355,69,0.4774294093219172,916,0.3406,Uveal Melanoma,6.658,0.089,0.1216920816535691,0.40372168284789645,1475,0
PKD1L2,47,0.3386435577091001,0.2184873947743803,0.2323960145500553,0.6050993181144382,0.010205,122,31,LYS,Q7Z442,-1.831,0.212,0.3428210438771893,Non-essential,71.0,36.6,12.4,0.3642444213371565,78,0.3608642220646592,72,0.3325735204250117,1582,0.1545,Kidney Papillary,1.93,0.423,0.3477434183264776,0.4025080906148867,1478,0
